,company name,ratings,company_type,location,other_loc
29,Tata Motors,4.1,Automobile, Bangalore / Bengaluru ,507 other locations
30,IDFC FIRST Bank,3.9,Banking, Bangalore / Bengaluru ,710 other locations
31,Ernst & Young,3.4,Management Consulting, Bangalore / Bengaluru ,131 other locations
32,AU Small Finance Bank,3.9,Banking, Bangalore / Bengaluru ,778 other locations
33,IndusInd Bank,3.4,Banking, Bangalore / Bengaluru ,788 other locations
34,Flipkart,3.9,Internet, Bangalore / Bengaluru ,560 other locations
35,Bajaj Finserv,3.9,NBFC, Bangalore / Bengaluru ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, Bangalore / Bengaluru ,1086 other locations
37,PwC,3.3,Management Consulting, Bangalore / Bengaluru ,132 other locations
38,Mahindra & Mahindra,4.0,Automobile, Bangalore / Bengaluru ,558 other locations
39,DXC Technology,3.6,IT Services & Consulting, Bangalore / Bengaluru ,133 other locations
40,Infosys BPM,3.5,BPO, Bangalore / Bengaluru ,95 other locations
41,HDFC Life,3.9,Insurance, Bangalore / Bengaluru ,695 other locations
42,Bandhan Bank,3.7,Banking, Bangalore / Bengaluru ,991 other locations
43,Conneqt Business Solutions,3.6,BPO, Bangalore / Bengaluru ,264 other locations
44,Mphasis,3.3,IT Services & Consulting, Bangalore / Bengaluru ,63 other locations
45,Yes Bank,3.7,Banking, Bangalore / Bengaluru ,540 other locations
46,Tata Steel,4.0,Iron & Steel, Bangalore / Bengaluru ,226 other locations
47,Quess,3.8,Recruitment, Bangalore / Bengaluru ,739 other locations
48,Startek,3.1,BPO, Bangalore / Bengaluru ,107 other locations
49,Asian Paints,3.9,Chemicals, Bangalore / Bengaluru ,548 other locations
50,UltraTech Cement,4.1,Building Material, Bangalore / Bengaluru ,532 other locations
51,Paytm,3.2,FinTech, Bangalore / Bengaluru ,416 other locations
52,Shriram Finance,4.0,NBFC, Bangalore / Bengaluru ,1105 other locations
53,Maruti Suzuki,4.2,Automobile, Bangalore / Bengaluru ,445 other locations
54,Bajaj Finance,3.9,NBFC, Bangalore / Bengaluru ,958 other locations
55,Sutherland Global Services,3.4,BPO, Bangalore / Bengaluru ,81 other locations
56,Equitas Small Finance Bank,4.4,Banking, Bangalore / Bengaluru ,472 other locations
57,EXL Service,3.6,Analytics & KPO, Bangalore / Bengaluru ,63 other locations
58,Cipla,4.1,Pharma, Bangalore / Bengaluru ,290 other locations
59,Samsung,3.9,Consumer Electronics & Appliances, Bangalore / Bengaluru ,577 other locations
60,Ericsson,3.9,Telecom, Bangalore / Bengaluru ,162 other locations
61,Wells Fargo,3.7,Financial Services, Bangalore / Bengaluru ,28 other locations
62,Dr. Reddy's,4.0,Pharma, Bangalore / Bengaluru ,213 other locations
63,Optum Global Solutions,4.0,IT Services & Consulting, Bangalore / Bengaluru ,68 other locations
64,Delhivery,3.8,Logistics, Bangalore / Bengaluru ,746 other locations
65,ICICI Prudential Life Insurance,4.0,Insurance, Bangalore / Bengaluru ,504 other locations
66,JPMorgan Chase & Co.,3.8,Financial Services, Bangalore / Bengaluru ,55 other locations
67,HGS,3.8,BPO, Bangalore / Bengaluru ,121 other locations
68,JSW Steel,3.9,Iron & Steel, Bangalore / Bengaluru ,195 other locations
69,Jana Small Finance Bank,3.8,Banking, Bangalore / Bengaluru ,418 other locations
70,Sun Pharmaceutical Industries,4.1,Pharma, Bangalore / Bengaluru ,263 other locations
71,Amazon Development Centre India,3.8,Internet, Bangalore / Bengaluru ,146 other locations
72,Hexaware Technologies,3.4,IT Services & Consulting, Bangalore / Bengaluru ,66 other locations
73,Lupin,4.1,Pharma, Bangalore / Bengaluru ,202 other locations
74,L&T Construction,4.0,Engineering & Construction, Bangalore / Bengaluru ,428 other locations
