,company name,ratings,company_type,location,other_loc
87,Cholamandalam Investment & Finance,3.8,Financial Services, Navi Mumbai ,829 other locations
88,IIFL Finance,4.0,NBFC, Navi Mumbai ,800 other locations
89,Oracle,3.5,Software Product, Navi Mumbai ,56 other locations
90,Indian Army,4.7,Defence & Aerospace, Navi Mumbai ,363 other locations
91,Omega Healthcare,3.8,BPO, Navi Mumbai ,69 other locations
92,Muthoot Finance,3.7,NBFC, Navi Mumbai ,781 other locations
93,JLL,4.1,Real Estate, Navi Mumbai ,85 other locations
94,HCL Group,3.5,IT Services & Consulting, Navi Mumbai ,97 other locations
95,eClerx,3.1,IT Services & Consulting, Navi Mumbai ,32 other locations
96,Virtusa Consulting Services,3.7,IT Services & Consulting, Navi Mumbai ,55 other locations
97,Piramal Finance,4.2,NBFC, Navi Mumbai ,419 other locations
98,DMart,3.9,Retail, Navi Mumbai ,246 other locations
99,HSBC Group,3.9,Financial Services, Navi Mumbai ,63 other locations
100,Udaan,3.9,Internet, Navi Mumbai ,371 other locations
101,Indiamart Intermesh,3.5,Internet, Navi Mumbai ,171 other locations
102,SMFG India Credit,3.9,NBFC, Navi Mumbai ,590 other locations
103,Aurobindo Pharma,4.0,Pharma, Navi Mumbai ,115 other locations
104,CGI Group,4.0,IT Services & Consulting, Navi Mumbai ,43 other locations
105,BigBasket,3.9,Internet, Navi Mumbai ,139 other locations
106,Siemens,3.9,Industrial Automation, Navi Mumbai ,153 other locations
107,Manappuram Finance,3.9,NBFC, Navi Mumbai ,645 other locations
108,Access Healthcare,3.7,BPO, Navi Mumbai ,63 other locations
109,Shapoorji Pallonji Group,4.1,Engineering & Construction, Navi Mumbai ,188 other locations
110,Firstsource Solutions,3.5,BPO, Navi Mumbai ,73 other locations
111,GlobalLogic,3.5,IT Services & Consulting, Navi Mumbai ,60 other locations
112,ICICI Lombard General Insurance Company,3.5,Insurance, Navi Mumbai ,311 other locations
113,Tata Capital,4.0,NBFC, Navi Mumbai ,435 other locations
114,Standard Chartered,3.6,Banking, Navi Mumbai ,68 other locations
115,Mahindra Finance,3.9,NBFC, Navi Mumbai ,728 other locations
116,Apollo Hospitals,4.1,Healthcare, Navi Mumbai ,229 other locations
117,Bosch Global Software Technologies,3.7,IT Services & Consulting, Navi Mumbai ,47 other locations
118,PolicyBazaar,3.6,Internet, Navi Mumbai ,149 other locations
119,UST,3.7,IT Services & Consulting, Navi Mumbai ,50 other locations
120,Ashok Leyland,4.0,Automobile, Navi Mumbai ,254 other locations
121,Citicorp,3.7,Financial Services, Navi Mumbai ,68 other locations
122,Swiggy,3.7,Internet, Navi Mumbai ,228 other locations
123,Hero MotoCorp,4.1,Automobile, Navi Mumbai ,364 other locations
124,Cyient,3.6,IT Services & Consulting, Navi Mumbai ,48 other locations
125,SBI Cards & Payment Services,3.7,Financial Services, Navi Mumbai ,435 other locations
126,Kalpataru Projects International,4.1,Engineering & Construction, Navi Mumbai ,320 other locations
127,JustDial,3.5,Internet, Navi Mumbai ,228 other locations
128,IQVIA,3.7,Clinical Research, Navi Mumbai ,62 other locations
129,SBI Life Insurance Company,3.7,Insurance, Navi Mumbai ,652 other locations
130,CBRE,4.1,Real Estate, Navi Mumbai ,91 other locations
131,TVS Motor,3.9,Automobile, Navi Mumbai ,349 other locations
132,NTT Data,3.8,IT Services & Consulting, Navi Mumbai ,79 other locations
133,Nagarjuna Construction Company,4.0,Engineering & Construction, Navi Mumbai ,295 other locations
134,Schneider Electric,4.1,Industrial Automation, Navi Mumbai ,120 other locations
135,Persistent Systems,3.6,IT Services & Consulting, Navi Mumbai ,42 other locations
136,vivo,4.1,Consumer Electronics & Appliances, Navi Mumbai ,414 other locations
137,State Bank of India,3.8,Banking, Navi Mumbai ,618 other locations
138,Atos,3.8,IT Services & Consulting, Navi Mumbai ,49 other locations
139,Ecom Express,4.0,Logistics, Navi Mumbai ,775 other locations
140,Eviden,3.6,IT Services & Consulting, Navi Mumbai ,39 other locations
141,KEC International,4.0,Engineering & Construction, Navi Mumbai ,312 other locations
142,Nagarro,3.9,IT Services & Consulting, Navi Mumbai ,49 other locations
143,JBM Group,3.9,Auto Components, Navi Mumbai ,116 other locations
144,Varun Beverages,4.0,Beverage, Navi Mumbai ,379 other locations
145,ITC Infotech,3.7,IT Services & Consulting, Navi Mumbai ,67 other locations
146,Home Credit Finance,4.0,NBFC, Navi Mumbai ,136 other locations
147,Bosch,4.1,Auto Components, Navi Mumbai ,129 other locations
148,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Navi Mumbai ,56 other locations
149,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Navi Mumbai ,103 other locations
150,Mahindra Logistics,3.7,Logistics, Navi Mumbai ,233 other locations
151,L&T Finance,3.9,NBFC, Navi Mumbai ,628 other locations
152,OPPO,3.9,Consumer Electronics & Appliances, Navi Mumbai ,410 other locations
153,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Navi Mumbai ,290 other locations
154,Utkarsh Small Finance Bank,3.6,Banking, Navi Mumbai ,406 other locations
155,Randstad,3.7,Recruitment, Navi Mumbai ,350 other locations
156,Dell,3.8,Consumer Electronics & Appliances, Navi Mumbai ,117 other locations
157,CARS24,3.4,Internet, Navi Mumbai ,173 other locations
158,Intas Pharmaceuticals,4.1,Pharma, Navi Mumbai ,148 other locations
159,Tata AIA Life Insurance,3.9,Insurance, Navi Mumbai ,441 other locations
160,Hyundai Motor India Limited,4.1,Automobile, Navi Mumbai ,287 other locations
161,Deutsche Bank,3.8,Banking, Navi Mumbai ,42 other locations
162,Motilal Oswal Financial Services,3.7,Financial Services, Navi Mumbai ,168 other locations
163,Team Lease,3.9,Recruitment, Navi Mumbai ,394 other locations
164,Berger Paints,3.7,Chemicals, Navi Mumbai ,353 other locations
165,Lenskart,3.3,Internet, Navi Mumbai ,239 other locations
166,Thermax Limited,4.2,Industrial Machinery, Navi Mumbai ,247 other locations
167,Macleods Pharmaceuticals,3.7,Pharma, Navi Mumbai ,131 other locations
168,Aakash Educational Services,3.2,Education & Training, Navi Mumbai ,243 other locations
169,Kogta Financial India Limited,4.7,NBFC, Navi Mumbai ,259 other locations
170,Jubilant Foods Works,3.7,Hospitality, Navi Mumbai ,261 other locations
171,LG Electronics,3.9,Consumer Electronics & Appliances, Navi Mumbai ,299 other locations
172,VE Commercial Vehicles,3.9,Automobile, Navi Mumbai ,158 other locations
173,Royal Enfield,4.2,Automobile, Navi Mumbai ,375 other locations
174,Jindal Steel Limited,3.9,Iron & Steel, Navi Mumbai ,172 other locations
175,Hindalco Industries,4.2,Metals & Mining, Navi Mumbai ,127 other locations
176,John Deere,4.0,Industrial Machinery, Navi Mumbai ,156 other locations
177,Tata Communications,3.9,Telecom, Navi Mumbai ,102 other locations
178,DCB Bank,3.8,Banking, Navi Mumbai ,339 other locations
179,HDFC Ergo General Insurance,3.9,Insurance, Navi Mumbai ,321 other locations
180,State Street Corporation,3.5,Financial Services, Navi Mumbai ,34 other locations
181,RBL Bank,3.5,Banking, Navi Mumbai ,285 other locations
182,Cummins,4.3,Industrial Machinery, Navi Mumbai ,113 other locations
183,Oyo Rooms,3.1,Internet, Navi Mumbai ,121 other locations
184,Pidilite Industries,4.2,Chemicals, Navi Mumbai ,311 other locations
185,Alembic Pharmaceuticals,3.9,Pharma, Navi Mumbai ,187 other locations
186,Reliance Communications,4.0,Telecom, Navi Mumbai ,465 other locations
187,Bank of America,4.1,Banking, Navi Mumbai ,35 other locations
188,Publicis Sapient,3.4,IT Services & Consulting, Navi Mumbai ,48 other locations
189,Subros,3.8,Auto Components, Navi Mumbai ,87 other locations
190,PVR INOX,3.9,Media & Entertainment, Navi Mumbai ,150 other locations
191,XpressBees,4.2,Logistics, Navi Mumbai ,473 other locations
192,American Express,4.1,Financial Services, Navi Mumbai ,53 other locations
193,Viatris,4.1,Pharma, Navi Mumbai ,81 other locations
194,Automatic Data Processing (ADP),3.9,Software Product, Navi Mumbai ,40 other locations
195,Kyndryl,3.9,IT Services & Consulting, Navi Mumbai ,37 other locations
196,PNB MetLife,3.4,Insurance, Navi Mumbai ,422 other locations
197,Aditya Birla Sun Life Insurance,4.0,Insurance, Navi Mumbai ,489 other locations
198,Grasim Industries,4.0,Building Material, Navi Mumbai ,239 other locations
199,Maersk,4.0,Logistics, Navi Mumbai ,49 other locations
200,Birlasoft,3.5,IT Services & Consulting, Navi Mumbai ,50 other locations
201,Synechron,3.5,IT Services & Consulting, Navi Mumbai ,32 other locations
202,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Navi Mumbai ,165 other locations
203,Glenmark Pharmaceuticals,3.8,Pharma, Navi Mumbai ,181 other locations
204,Cogent E Services,3.2,BPO, Navi Mumbai ,55 other locations
205,Samvardhana Motherson Group,3.7,Auto Components, Navi Mumbai ,93 other locations
206,Dabur,3.9,FMCG, Navi Mumbai ,319 other locations
207,JK Cement,4.0,Building Material, Navi Mumbai ,325 other locations
208,Sodexo,4.0,Facility Management Services, Navi Mumbai ,156 other locations
209,Bharat Electronics,4.2,Electronics Manufacturing, Navi Mumbai ,88 other locations
210,Kotak Mahindara Life Insurance,3.5,Insurance, Navi Mumbai ,256 other locations
211,KPIT Technologies,3.0,Software Product, Navi Mumbai ,44 other locations
212,Altruist Technologies,4.4,BPO, Navi Mumbai ,44 other locations
213,Abbott,4.1,Pharma, Navi Mumbai ,211 other locations
214,Aarti Industries,4.0,Agro Chemicals, Navi Mumbai ,58 other locations
215,Ipca Laboratories,3.9,Pharma, Navi Mumbai ,160 other locations
216,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, Navi Mumbai ,617 other locations
217,Indian Oil Corporation,4.3,Oil & Gas, Navi Mumbai ,308 other locations
218,MRF Tyres,3.6,Auto Components, Navi Mumbai ,192 other locations
219,Alkem Laboratories,3.9,Pharma, Navi Mumbai ,196 other locations
220,Reliance Digital,4.2,Retail, Navi Mumbai ,378 other locations
221,Johnson Controls,3.5,Industrial Automation, Navi Mumbai ,57 other locations
222,NTT DATA,3.6,IT Services & Consulting, Navi Mumbai ,35 other locations
223,Honda Motorcycle & Scooter,4.1,Automobile, Navi Mumbai ,296 other locations
224,PhonePe,4.1,FinTech, Navi Mumbai ,390 other locations
225,Vishal Mega Mart,3.7,Retail, Navi Mumbai ,376 other locations
226,UNO Minda,4.0,Auto Components, Navi Mumbai ,109 other locations
227,Hindustan Coca Cola Beverages,4.0,Beverage, Navi Mumbai ,257 other locations
228,Ford Motor,4.2,Automobile, Navi Mumbai ,130 other locations
229,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Navi Mumbai ,86 other locations
230,UBS,3.9,Financial Services, Navi Mumbai ,19 other locations
231,DTDC Express,3.7,Logistics, Navi Mumbai ,268 other locations
232,Reliance Nippon Life Insurance,3.4,Insurance, Navi Mumbai ,482 other locations
233,Cloudnine Hospital,4.4,Healthcare, Navi Mumbai ,46 other locations
234,Ceat Tyres,3.9,Auto Components, Navi Mumbai ,141 other locations
235,ABB,4.1,Industrial Machinery, Navi Mumbai ,105 other locations
236,RSPL Group,4.0,FMCG, Navi Mumbai ,255 other locations
237,Indian Air Force,4.5,Defence & Aerospace, Navi Mumbai ,136 other locations
238,AGS Health,4.0,Analytics & KPO, Navi Mumbai ,60 other locations
239,Barclays,3.7,Banking, Navi Mumbai ,36 other locations
240,NatWest Group,4.0,Banking, Navi Mumbai ,29 other locations
241,Blinkit,3.7,Internet, Navi Mumbai ,142 other locations
242,InterGlobe Aviation,3.5,Aviation, Navi Mumbai ,103 other locations
243,TVS Credit Services Ltd,4.2,NBFC, Navi Mumbai ,423 other locations
244,Alstom Transportation,3.7,Engineering & Construction, Navi Mumbai ,80 other locations
245,Marpu Foundation,4.9,Non-Profit, Navi Mumbai ,62 other locations
246,GeBBS Healthcare Solutions,3.7,BPO, Navi Mumbai ,26 other locations
247,Tata Technologies,3.5,Engineering & Construction, Navi Mumbai ,55 other locations
248,Croma,3.8,Retail, Navi Mumbai ,189 other locations
249,Tata AIG,4.0,Insurance, Navi Mumbai ,260 other locations
250,Max Healthcare,3.9,Healthcare, Navi Mumbai ,78 other locations
251,UPL,4.1,Agro Chemicals, Navi Mumbai ,185 other locations
252,PepsiCo,4.0,Food Processing, Navi Mumbai ,275 other locations
253,Titan Company,4.2,Retail, Navi Mumbai ,183 other locations
254,Amazon Transportation Services,4.2,Logistics, Navi Mumbai ,227 other locations
255,Bajaj General Insurance Limited,3.8,Insurance, Navi Mumbai ,273 other locations
256,Dilip Buildcon,3.9,Engineering & Construction, Navi Mumbai ,226 other locations
257,Mankind Pharma,3.8,Pharma, Navi Mumbai ,247 other locations
258,Future Group,4.2,Retail, Navi Mumbai ,207 other locations
259,S&P Global,4.0,Analytics & KPO, Navi Mumbai ,47 other locations
260,MSN Laboratories,3.6,Pharma, Navi Mumbai ,104 other locations
261,Jindal Stainless,4.1,Iron & Steel, Navi Mumbai ,76 other locations
262,Afcons Infrastructure,4.2,Engineering & Construction, Navi Mumbai ,121 other locations
263,Torrent Pharmaceuticals,4.0,Pharma, Navi Mumbai ,129 other locations
264,Quest Global,3.5,IT Services & Consulting, Navi Mumbai ,47 other locations
265,Niva Bupa Health Insurance Company,4.0,Insurance, Navi Mumbai ,300 other locations
266,CMS IT Services,3.1,IT Services & Consulting, Navi Mumbai ,152 other locations
267,Square Yards,3.6,Internet, Navi Mumbai ,51 other locations
268,ACC,3.9,Building Material, Navi Mumbai ,272 other locations
269,I Process Services,3.8,Recruitment, Navi Mumbai ,405 other locations
270,HDFC Sales,3.9,Financial Services, Navi Mumbai ,345 other locations
271,IDFC FIRST Bharat,4.2,Financial Services, Navi Mumbai ,420 other locations
272,Zensar Technologies,3.7,IT Services & Consulting, Navi Mumbai ,28 other locations
273,Shoppers Stop,4.0,Retail, Navi Mumbai ,83 other locations
274,DS Group,4.1,FMCG, Navi Mumbai ,280 other locations
275,Suzlon Group,4.0,Power, Navi Mumbai ,142 other locations
276,ESAF Small Finance Bank,3.6,Banking, Navi Mumbai ,437 other locations
277,Fujitsu,3.8,IT Services & Consulting, Navi Mumbai ,41 other locations
278,Tata Elxsi,3.5,IT Services & Consulting, Navi Mumbai ,30 other locations
279,Eternal Limited,3.6,Internet, Navi Mumbai ,218 other locations
280,Apollo Tyres,4.0,Auto Components, Navi Mumbai ,181 other locations
281,Nokia,4.0,Telecom, Navi Mumbai ,166 other locations
282,Ola Electric Mobility,3.3,Automobile, Navi Mumbai ,415 other locations
283,Indus Towers,3.6,Telecom, Navi Mumbai ,238 other locations
284,Sagility,3.9,BPO, Navi Mumbai ,27 other locations
285,Yazaki,3.9,Auto Components, Navi Mumbai ,94 other locations
286,IKS Health,3.5,Healthcare, Navi Mumbai ,31 other locations
287,Bharat Financial Inclusion,3.7,Financial Services, Navi Mumbai ,489 other locations
288,Fiserv,2.9,FinTech, Navi Mumbai ,32 other locations
289,Landmark Group,3.8,Retail, Navi Mumbai ,172 other locations
290,Shree Cement,3.8,Building Material, Navi Mumbai ,255 other locations
291,Britannia,3.9,FMCG, Navi Mumbai ,297 other locations
292,SRF,4.1,Chemicals, Navi Mumbai ,67 other locations
293,Blue Dart Express Ltd,3.9,Logistics, Navi Mumbai ,278 other locations
294,Whitehat jr,3.3,EdTech, Navi Mumbai ,49 other locations
295,Kansai Nerolac Paints,3.8,Chemicals, Navi Mumbai ,253 other locations
296,Exide Industries,3.4,Auto Components, Navi Mumbai ,198 other locations
297,Shell,3.9,Oil & Gas, Navi Mumbai ,90 other locations
298,Flex,3.9,Electronics Manufacturing, Navi Mumbai ,46 other locations
299,Capita,3.5,BPO, Navi Mumbai ,32 other locations
300,ElasticRun,3.6,Logistics, Navi Mumbai ,390 other locations
301,NestlÃÂÃÂÃÂÃÂ©,3.8,FMCG, Navi Mumbai ,278 other locations
302,Micro Labs,3.6,Pharma, Navi Mumbai ,150 other locations
303,TVS Supply Chain Solutions,3.8,Logistics, Navi Mumbai ,152 other locations
304,Zepto,3.5,Internet, Navi Mumbai ,100 other locations
305,KFintech,3.4,Financial Services, Navi Mumbai ,113 other locations
306,KPMG Global Services,3.5,Management Consulting, Navi Mumbai ,37 other locations
307,G4S,4.0,Law Enforcement & Security, Navi Mumbai ,162 other locations
308,Star Health & Allied Insurance,3.5,Insurance, Navi Mumbai ,326 other locations
309,Voltas,4.0,Consumer Electronics & Appliances, Navi Mumbai ,204 other locations
310,BlackBuck,3.7,Internet, Navi Mumbai ,365 other locations
311,Sonalika Tractors,3.6,Automobile, Navi Mumbai ,191 other locations
312,Ajanta Pharma,3.9,Pharma, Navi Mumbai ,118 other locations
313,Sahrudaya Healthcare (Medicover Hospitals),4.4,Healthcare, Navi Mumbai ,45 other locations
314,Blue Star,4.1,Consumer Electronics & Appliances, Navi Mumbai ,147 other locations
315,Care Health Insurance,3.5,Insurance, Navi Mumbai ,242 other locations
316,Domino's Pizza,3.9,Hospitality, Navi Mumbai ,246 other locations
317,GATI-KWE,3.9,Logistics, Navi Mumbai ,162 other locations
318,NoBroker,3.0,Internet, Navi Mumbai ,49 other locations
319,Fortis Healthcare,4.0,Healthcare, Navi Mumbai ,69 other locations
320,Gallagher,3.7,Insurance, Navi Mumbai ,28 other locations
321,Bajaj Electricals,3.9,Consumer Electronics & Appliances, Navi Mumbai ,233 other locations
322,Sterlite Technologies,3.8,Hardware & Networking, Navi Mumbai ,101 other locations
323,Movate,3.1,IT Services & Consulting, Navi Mumbai ,38 other locations
324,Sammaan Capital Limited,3.8,NBFC, Navi Mumbai ,201 other locations
325,Foundever,3.4,BPO, Navi Mumbai ,23 other locations
326,DBS Bank,3.7,Banking, Navi Mumbai ,175 other locations
327,V-Mart,4.1,Retail, Navi Mumbai ,284 other locations
328,Himalaya Wellness,4.0,Pharma, Navi Mumbai ,236 other locations
329,Tata Advanced Systems,3.7,Defence & Aerospace, Navi Mumbai ,55 other locations
330,Parle Agro,4.0,Beverage, Navi Mumbai ,255 other locations
331,JCB,3.9,Industrial Machinery, Navi Mumbai ,113 other locations
332,Patanjali Ayurved,3.9,FMCG, Navi Mumbai ,300 other locations
333,Foxconn,3.9,Electronics Manufacturing, Navi Mumbai ,59 other locations
334,McDonald's,3.9,Hospitality, Navi Mumbai ,147 other locations
335,ICICI Securities,3.9,Financial Services, Navi Mumbai ,148 other locations
336,Mahindra Holidays & Resorts,3.5,Hospitality, Navi Mumbai ,112 other locations
337,Emcure Pharmaceuticals,3.7,Pharma, Navi Mumbai ,113 other locations
338,Planet Spark,3.9,EdTech, Navi Mumbai ,62 other locations
339,Mahindra Rural Housing Finance,4.0,NBFC, Navi Mumbai ,460 other locations
340,Datamatics Global Services,3.4,IT Services & Consulting, Navi Mumbai ,36 other locations
341,Intellect Design Arena,3.6,Software Product, Navi Mumbai ,40 other locations
342,Aditya Birla Capital,3.8,NBFC, Navi Mumbai ,285 other locations
343,Axis Direct,3.6,Financial Services, Navi Mumbai ,269 other locations
344,Taj Hotels Resorts and Palaces,4.2,Hospitality, Navi Mumbai ,109 other locations
345,Hero FinCorp,3.9,NBFC, Navi Mumbai ,390 other locations
346,3i Infotech,3.4,IT Services & Consulting, Navi Mumbai ,127 other locations
347,Capgemini Engineering,3.4,IT Services & Consulting, Navi Mumbai ,27 other locations
348,Info Edge,4.0,Internet, Navi Mumbai ,69 other locations
349,Cholamandalam MS General Insurance,3.7,Insurance, Navi Mumbai ,385 other locations
350,Syngene International,3.9,Clinical Research, Navi Mumbai ,21 other locations
351,Aditya Birla Group,4.1,Metals & Mining, Navi Mumbai ,263 other locations
352,KocharTech,3.7,IT Services & Consulting, Navi Mumbai ,26 other locations
353,Adani Group,3.8,Power, Navi Mumbai ,186 other locations
354,Delhi Public School,3.8,Education & Training, Navi Mumbai ,272 other locations
355,Bureau Veritas,3.8,Other, Navi Mumbai ,143 other locations
356,Xoriant,4.1,IT Services & Consulting, Navi Mumbai ,23 other locations
357,Lifestyle,4.3,Retail, Navi Mumbai ,129 other locations
358,Akums Drugs & Pharmaceuticals Limited,4.2,Pharma, Navi Mumbai ,37 other locations
359,Aavas Financiers,3.9,NBFC, Navi Mumbai ,290 other locations
360,Eureka Forbes,3.6,Consumer Electronics & Appliances, Navi Mumbai ,184 other locations
361,Kia India,3.9,Automobile, Navi Mumbai ,185 other locations
362,Radisson Hotels,4.0,Hospitality, Navi Mumbai ,125 other locations
363,Apollo Pharmacy,3.7,Pharma, Navi Mumbai ,279 other locations
364,TaskUs,3.1,BPO, Navi Mumbai ,35 other locations
365,Myntra,3.9,Internet, Navi Mumbai ,104 other locations
366,Lava International,3.9,Consumer Electronics & Appliances, Navi Mumbai ,222 other locations
367,Panasonic Life Solutions India,3.9,Consumer Electronics & Appliances, Navi Mumbai ,168 other locations
