,company name,ratings,company_type,location,other_loc
101,Udaan,3.9,Internet, Pune ,371 other locations
102,Indiamart Intermesh,3.5,Internet, Pune ,171 other locations
103,SMFG India Credit,3.9,NBFC, Pune ,590 other locations
104,Aurobindo Pharma,4.0,Pharma, Pune ,115 other locations
105,CGI Group,4.0,IT Services & Consulting, Pune ,43 other locations
106,Siemens,3.9,Industrial Automation, Pune ,153 other locations
107,BigBasket,3.9,Internet, Pune ,139 other locations
108,Manappuram Finance,3.9,NBFC, Pune ,645 other locations
109,Access Healthcare,3.7,BPO, Pune ,63 other locations
110,Shapoorji Pallonji Group,4.1,Engineering & Construction, Pune ,188 other locations
111,Firstsource Solutions,3.5,BPO, Pune ,73 other locations
112,GlobalLogic,3.5,IT Services & Consulting, Pune ,60 other locations
113,ICICI Lombard General Insurance Company,3.5,Insurance, Pune ,311 other locations
114,Tata Capital,4.0,NBFC, Pune ,434 other locations
115,Standard Chartered,3.6,Banking, Pune ,68 other locations
116,Mahindra Finance,3.9,NBFC, Pune ,728 other locations
117,Apollo Hospitals,4.1,Healthcare, Pune ,229 other locations
118,Bosch Global Software Technologies,3.7,IT Services & Consulting, Pune ,47 other locations
119,PolicyBazaar,3.6,Internet, Pune ,149 other locations
120,UST,3.7,IT Services & Consulting, Pune ,50 other locations
121,Ashok Leyland,4.0,Automobile, Pune ,254 other locations
122,Citicorp,3.7,Financial Services, Pune ,68 other locations
123,Swiggy,3.7,Internet, Pune ,228 other locations
124,Hero MotoCorp,4.1,Automobile, Pune ,364 other locations
125,Cyient,3.6,IT Services & Consulting, Pune ,48 other locations
126,SBI Cards & Payment Services,3.7,Financial Services, Pune ,433 other locations
127,Kalpataru Projects International,4.1,Engineering & Construction, Pune ,320 other locations
128,JustDial,3.5,Internet, Pune ,228 other locations
129,BNY,3.7,Financial Services, Pune ,25 other locations
130,IQVIA,3.7,Clinical Research, Pune ,62 other locations
131,CBRE,4.1,Real Estate, Pune ,91 other locations
132,SBI Life Insurance Company,3.7,Insurance, Pune ,651 other locations
133,TVS Motor,3.9,Automobile, Pune ,349 other locations
134,NTT Data,3.8,IT Services & Consulting, Pune ,79 other locations
135,Nagarjuna Construction Company,4.0,Engineering & Construction, Pune ,295 other locations
136,Schneider Electric,4.1,Industrial Automation, Pune ,120 other locations
137,Persistent Systems,3.6,IT Services & Consulting, Pune ,42 other locations
138,vivo,4.1,Consumer Electronics & Appliances, Pune ,413 other locations
139,State Bank of India,3.8,Banking, Pune ,618 other locations
140,Atos,3.8,IT Services & Consulting, Pune ,49 other locations
141,Ecom Express,4.0,Logistics, Pune ,775 other locations
142,Eviden,3.6,IT Services & Consulting, Pune ,39 other locations
143,KEC International,4.0,Engineering & Construction, Pune ,312 other locations
144,Amdocs,3.6,Software Product, Pune ,23 other locations
145,Nagarro,3.9,IT Services & Consulting, Pune ,49 other locations
146,JBM Group,3.9,Auto Components, Pune ,116 other locations
147,Varun Beverages,4.0,Beverage, Pune ,379 other locations
148,ITC Infotech,3.7,IT Services & Consulting, Pune ,66 other locations
149,Home Credit Finance,4.0,NBFC, Pune ,136 other locations
150,Bosch,4.1,Auto Components, Pune ,128 other locations
151,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Pune ,56 other locations
152,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Pune ,103 other locations
153,Mahindra Logistics,3.7,Logistics, Pune ,233 other locations
154,L&T Finance,3.9,NBFC, Pune ,628 other locations
155,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Pune ,290 other locations
156,Utkarsh Small Finance Bank,3.6,Banking, Pune ,406 other locations
157,OPPO,3.9,Consumer Electronics & Appliances, Pune ,409 other locations
158,Randstad,3.7,Recruitment, Pune ,350 other locations
159,Dell,3.8,Consumer Electronics & Appliances, Pune ,117 other locations
160,CARS24,3.4,Internet, Pune ,173 other locations
161,Havells,3.9,Electrical Equipment, Pune ,258 other locations
162,R1 RCM,3.8,BPO, Pune ,47 other locations
163,Intas Pharmaceuticals,4.1,Pharma, Pune ,148 other locations
164,Tata AIA Life Insurance,3.9,Insurance, Pune ,440 other locations
165,Hyundai Motor India Limited,4.1,Automobile, Pune ,287 other locations
166,Deutsche Bank,3.8,Banking, Pune ,42 other locations
167,Hetero,3.9,Pharma, Pune ,67 other locations
168,Motilal Oswal Financial Services,3.7,Financial Services, Pune ,168 other locations
169,Team Lease,3.9,Recruitment, Pune ,394 other locations
170,Berger Paints,3.7,Chemicals, Pune ,352 other locations
171,Lenskart,3.3,Internet, Pune ,239 other locations
172,Thermax Limited,4.2,Industrial Machinery, Pune ,247 other locations
173,Bajaj Auto,3.8,Automobile, Pune ,317 other locations
174,Aakash Educational Services,3.2,Education & Training, Pune ,243 other locations
175,Macleods Pharmaceuticals,3.7,Pharma, Pune ,131 other locations
176,Kogta Financial India Limited,4.7,NBFC, Pune ,259 other locations
177,LG Electronics,3.9,Consumer Electronics & Appliances, Pune ,297 other locations
178,Jubilant Foods Works,3.7,Hospitality, Pune ,261 other locations
179,VE Commercial Vehicles,3.9,Automobile, Pune ,157 other locations
180,Royal Enfield,4.2,Automobile, Pune ,375 other locations
181,Jindal Steel Limited,3.9,Iron & Steel, Pune ,172 other locations
182,Hindalco Industries,4.2,Metals & Mining, Pune ,127 other locations
183,John Deere,4.0,Industrial Machinery, Pune ,156 other locations
184,Tata Communications,3.9,Telecom, Pune ,102 other locations
185,DCB Bank,3.8,Banking, Pune ,339 other locations
186,HDFC Ergo General Insurance,3.9,Insurance, Pune ,321 other locations
187,State Street Corporation,3.5,Financial Services, Pune ,34 other locations
188,RBL Bank,3.5,Banking, Pune ,285 other locations
189,Cummins,4.3,Industrial Machinery, Pune ,113 other locations
190,Oyo Rooms,3.1,Internet, Pune ,120 other locations
191,Alembic Pharmaceuticals,3.9,Pharma, Pune ,187 other locations
192,Pidilite Industries,4.2,Chemicals, Pune ,311 other locations
193,Reliance Communications,4.0,Telecom, Pune ,465 other locations
194,Bank of America,4.1,Banking, Pune ,35 other locations
195,Carelon Global Solutions,3.9,IT Services & Consulting, Pune ,21 other locations
196,Publicis Sapient,3.4,IT Services & Consulting, Pune ,48 other locations
197,Subros,3.8,Auto Components, Pune ,87 other locations
198,PVR INOX,3.9,Media & Entertainment, Pune ,150 other locations
199,XpressBees,4.2,Logistics, Pune ,473 other locations
200,American Express,4.1,Financial Services, Pune ,53 other locations
201,Viatris,4.1,Pharma, Pune ,81 other locations
202,Automatic Data Processing (ADP),3.9,Software Product, Pune ,40 other locations
203,Kyndryl,3.9,IT Services & Consulting, Pune ,37 other locations
204,Sodexo,4.0,Facility Management Services, Pune ,156 other locations
205,PNB MetLife,3.4,Insurance, Pune ,421 other locations
206,Escorts Kubota Limited,4.1,Automobile, Pune ,154 other locations
207,Aditya Birla Sun Life Insurance,4.0,Insurance, Pune ,489 other locations
208,Grasim Industries,4.0,Building Material, Pune ,239 other locations
209,Maersk,4.0,Logistics, Pune ,49 other locations
210,Birlasoft,3.5,IT Services & Consulting, Pune ,50 other locations
211,Synechron,3.5,IT Services & Consulting, Pune ,32 other locations
212,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Pune ,165 other locations
213,Glenmark Pharmaceuticals,3.8,Pharma, Pune ,181 other locations
214,Cogent E Services,3.2,BPO, Pune ,55 other locations
215,Dabur,3.9,FMCG, Pune ,318 other locations
216,JK Cement,4.0,Building Material, Pune ,325 other locations
