,company name,ratings,company_type,location,other_loc
97,Virtusa Consulting Services,3.7,IT Services & Consulting, Chennai ,55 other locations
98,DMart,3.9,Retail, Chennai ,246 other locations
99,HSBC Group,3.9,Financial Services, Chennai ,63 other locations
100,Indiamart Intermesh,3.5,Internet, Chennai ,172 other locations
101,Udaan,3.9,Internet, Chennai ,368 other locations
102,SMFG India Credit,3.9,NBFC, Chennai ,592 other locations
103,Aurobindo Pharma,4.0,Pharma, Chennai ,115 other locations
104,Access Healthcare,3.7,BPO, Chennai ,64 other locations
105,Siemens,3.9,Industrial Automation, Chennai ,152 other locations
106,BigBasket,3.9,Internet, Chennai ,138 other locations
107,Manappuram Finance,3.9,NBFC, Chennai ,647 other locations
108,Shapoorji Pallonji Group,4.1,Engineering & Construction, Chennai ,188 other locations
109,Firstsource Solutions,3.5,BPO, Chennai ,73 other locations
110,Tata Capital,4.0,NBFC, Chennai ,438 other locations
111,GlobalLogic,3.5,IT Services & Consulting, Chennai ,60 other locations
112,ICICI Lombard General Insurance Company,3.5,Insurance, Chennai ,311 other locations
113,Standard Chartered,3.6,Banking, Chennai ,68 other locations
114,Mahindra Finance,3.9,NBFC, Chennai ,730 other locations
115,Apollo Hospitals,4.1,Healthcare, Chennai ,229 other locations
116,PolicyBazaar,3.7,Internet, Chennai ,149 other locations
117,Bosch Global Software Technologies,3.7,IT Services & Consulting, Chennai ,47 other locations
118,UST,3.7,IT Services & Consulting, Chennai ,50 other locations
119,Ashok Leyland,4.0,Automobile, Chennai ,255 other locations
120,Citicorp,3.7,Financial Services, Chennai ,68 other locations
121,Swiggy,3.7,Internet, Chennai ,228 other locations
122,Hero MotoCorp,4.1,Automobile, Chennai ,364 other locations
123,Cyient,3.6,IT Services & Consulting, Chennai ,48 other locations
124,CGI Group,4.0,IT Services & Consulting, Chennai ,43 other locations
125,SBI Cards & Payment Services,3.6,Financial Services, Chennai ,435 other locations
126,Kalpataru Projects International,4.2,Engineering & Construction, Chennai ,321 other locations
127,JustDial,3.5,Internet, Chennai ,229 other locations
128,BNY,3.7,Financial Services, Chennai ,25 other locations
129,IQVIA,3.7,Clinical Research, Chennai ,63 other locations
130,NTT Data,3.8,IT Services & Consulting, Chennai ,79 other locations
131,SBI Life Insurance Company,3.7,Insurance, Chennai ,654 other locations
132,Nagarjuna Construction Company,4.0,Engineering & Construction, Chennai ,295 other locations
133,CBRE,4.1,Real Estate, Chennai ,91 other locations
134,TVS Motor,3.9,Automobile, Chennai ,349 other locations
135,Schneider Electric,4.2,Industrial Automation, Chennai ,119 other locations
136,Persistent Systems,3.6,IT Services & Consulting, Chennai ,41 other locations
137,Atos,3.8,IT Services & Consulting, Chennai ,49 other locations
138,vivo,4.1,Consumer Electronics & Appliances, Chennai ,414 other locations
139,State Bank of India,3.8,Banking, Chennai ,617 other locations
140,Ecom Express,4.0,Logistics, Chennai ,774 other locations
141,Eviden,3.6,IT Services & Consulting, Chennai ,39 other locations
142,KEC International,4.0,Engineering & Construction, Chennai ,312 other locations
143,Amdocs,3.6,Software Product, Chennai ,23 other locations
144,JBM Group,3.9,Auto Components, Chennai ,116 other locations
145,Nagarro,3.9,IT Services & Consulting, Chennai ,49 other locations
146,Varun Beverages,4.0,Beverage, Chennai ,379 other locations
147,ITC Infotech,3.7,IT Services & Consulting, Chennai ,67 other locations
148,Home Credit Finance,4.0,NBFC, Chennai ,136 other locations
149,Bosch,4.1,Auto Components, Chennai ,130 other locations
150,Randstad,3.7,Recruitment, Chennai ,352 other locations
151,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Chennai ,56 other locations
152,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Chennai ,103 other locations
153,Mahindra Logistics,3.7,Logistics, Chennai ,233 other locations
154,Utkarsh Small Finance Bank,3.6,Banking, Chennai ,407 other locations
155,L&T Finance,3.9,NBFC, Chennai ,632 other locations
156,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Chennai ,292 other locations
157,OPPO,3.9,Consumer Electronics & Appliances, Chennai ,409 other locations
158,Dell,3.8,Consumer Electronics & Appliances, Chennai ,117 other locations
159,CARS24,3.4,Internet, Chennai ,173 other locations
160,Havells,3.9,Electrical Equipment, Chennai ,260 other locations
161,Intas Pharmaceuticals,4.1,Pharma, Chennai ,148 other locations
162,R1 RCM,3.8,BPO, Chennai ,46 other locations
163,Tata AIA Life Insurance,3.9,Insurance, Chennai ,442 other locations
164,Hyundai Motor India Limited,4.1,Automobile, Chennai ,287 other locations
165,Deutsche Bank,3.8,Banking, Chennai ,42 other locations
166,Hetero,3.9,Pharma, Chennai ,67 other locations
167,Motilal Oswal Financial Services,3.7,Financial Services, Chennai ,168 other locations
168,Team Lease,3.9,Recruitment, Chennai ,396 other locations
169,Berger Paints,3.7,Chemicals, Chennai ,354 other locations
170,VE Commercial Vehicles,3.9,Automobile, Chennai ,179 other locations
171,Lenskart,3.3,Internet, Chennai ,240 other locations
172,Thermax Limited,4.2,Industrial Machinery, Chennai ,249 other locations
173,Macleods Pharmaceuticals,3.7,Pharma, Chennai ,132 other locations
174,Bajaj Auto,3.8,Automobile, Chennai ,317 other locations
175,Aakash Educational Services,3.2,Education & Training, Chennai ,244 other locations
176,Jubilant Foods Works,3.7,Hospitality, Chennai ,262 other locations
177,LG Electronics,3.9,Consumer Electronics & Appliances, Chennai ,298 other locations
178,Royal Enfield,4.2,Automobile, Chennai ,373 other locations
179,Hindalco Industries,4.2,Metals & Mining, Chennai ,127 other locations
180,Jindal Steel Limited,3.9,Iron & Steel, Chennai ,172 other locations
181,HDFC Ergo General Insurance,4.0,Insurance, Chennai ,324 other locations
182,Tata Communications,3.9,Telecom, Chennai ,102 other locations
183,John Deere,4.0,Industrial Machinery, Chennai ,155 other locations
184,DCB Bank,3.8,Banking, Chennai ,341 other locations
185,State Street Corporation,3.5,Financial Services, Chennai ,34 other locations
186,RBL Bank,3.5,Banking, Chennai ,284 other locations
187,Cummins,4.3,Industrial Machinery, Chennai ,114 other locations
188,Oyo Rooms,3.1,Internet, Chennai ,121 other locations
189,Pidilite Industries,4.2,Chemicals, Chennai ,312 other locations
190,Alembic Pharmaceuticals,3.9,Pharma, Chennai ,187 other locations
191,Reliance Communications,4.0,Telecom, Chennai ,466 other locations
192,Bank of America,4.1,Banking, Chennai ,35 other locations
193,Carelon Global Solutions,3.9,IT Services & Consulting, Chennai ,21 other locations
194,PVR INOX,3.9,Media & Entertainment, Chennai ,150 other locations
195,Publicis Sapient,3.4,IT Services & Consulting, Chennai ,47 other locations
196,Viatris,4.1,Pharma, Chennai ,81 other locations
197,Subros,3.8,Auto Components, Chennai ,88 other locations
198,XpressBees,4.2,Logistics, Chennai ,474 other locations
199,American Express,4.1,Financial Services, Chennai ,53 other locations
200,Automatic Data Processing (ADP),3.9,Software Product, Chennai ,40 other locations
201,PNB MetLife,3.4,Insurance, Chennai ,424 other locations
202,Kyndryl,3.9,IT Services & Consulting, Chennai ,37 other locations
203,Escorts Kubota Limited,4.1,Automobile, Chennai ,155 other locations
204,Aditya Birla Sun Life Insurance,4.0,Insurance, Chennai ,488 other locations
