,company name,ratings,company_type,location,other_loc
101,Firstsource Solutions,3.5,BPO, Indore ,73 other locations
102,GlobalLogic,3.5,IT Services & Consulting, Indore ,60 other locations
103,ICICI Lombard General Insurance Company,3.5,Insurance, Indore ,311 other locations
104,Tata Capital,4.0,NBFC, Indore ,435 other locations
105,Standard Chartered,3.6,Banking, Indore ,68 other locations
106,Mahindra Finance,3.9,NBFC, Indore ,728 other locations
107,Apollo Hospitals,4.1,Healthcare, Indore ,229 other locations
108,Bosch Global Software Technologies,3.7,IT Services & Consulting, Indore ,47 other locations
109,PolicyBazaar,3.6,Internet, Indore ,149 other locations
110,UST,3.7,IT Services & Consulting, Indore ,50 other locations
111,Ashok Leyland,4.0,Automobile, Indore ,254 other locations
112,Citicorp,3.7,Financial Services, Indore ,68 other locations
113,Swiggy,3.7,Internet, Indore ,228 other locations
114,Hero MotoCorp,4.1,Automobile, Indore ,364 other locations
115,SBI Cards & Payment Services,3.7,Financial Services, Indore ,435 other locations
116,Kalpataru Projects International,4.1,Engineering & Construction, Indore ,320 other locations
117,JustDial,3.5,Internet, Indore ,228 other locations
118,IQVIA,3.7,Clinical Research, Indore ,62 other locations
119,SBI Life Insurance Company,3.7,Insurance, Indore ,652 other locations
120,CBRE,4.1,Real Estate, Indore ,91 other locations
121,TVS Motor,3.9,Automobile, Indore ,349 other locations
122,Nagarjuna Construction Company,4.0,Engineering & Construction, Indore ,295 other locations
123,Schneider Electric,4.1,Industrial Automation, Indore ,120 other locations
124,Persistent Systems,3.6,IT Services & Consulting, Indore ,42 other locations
125,vivo,4.1,Consumer Electronics & Appliances, Indore ,414 other locations
126,State Bank of India,3.8,Banking, Indore ,618 other locations
127,Atos,3.8,IT Services & Consulting, Indore ,49 other locations
128,Ecom Express,4.0,Logistics, Indore ,775 other locations
129,KEC International,4.0,Engineering & Construction, Indore ,312 other locations
130,Amdocs,3.6,Software Product, Indore ,23 other locations
131,Nagarro,3.9,IT Services & Consulting, Indore ,49 other locations
132,JBM Group,3.9,Auto Components, Indore ,116 other locations
133,Varun Beverages,4.0,Beverage, Indore ,379 other locations
134,ITC Infotech,3.7,IT Services & Consulting, Indore ,67 other locations
135,Home Credit Finance,4.0,NBFC, Indore ,136 other locations
136,Bosch,4.1,Auto Components, Indore ,129 other locations
137,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Indore ,103 other locations
138,Mahindra Logistics,3.7,Logistics, Indore ,233 other locations
139,L&T Finance,3.9,NBFC, Indore ,628 other locations
140,OPPO,3.9,Consumer Electronics & Appliances, Indore ,410 other locations
141,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Indore ,290 other locations
142,Utkarsh Small Finance Bank,3.6,Banking, Indore ,406 other locations
143,Randstad,3.7,Recruitment, Indore ,350 other locations
144,Dell,3.8,Consumer Electronics & Appliances, Indore ,117 other locations
145,CARS24,3.4,Internet, Indore ,173 other locations
146,Havells,3.9,Electrical Equipment, Indore ,258 other locations
147,Intas Pharmaceuticals,4.1,Pharma, Indore ,148 other locations
148,Tata AIA Life Insurance,3.9,Insurance, Indore ,441 other locations
149,Hyundai Motor India Limited,4.1,Automobile, Indore ,287 other locations
150,Motilal Oswal Financial Services,3.7,Financial Services, Indore ,168 other locations
151,Team Lease,3.9,Recruitment, Indore ,394 other locations
152,Berger Paints,3.7,Chemicals, Indore ,353 other locations
153,Lenskart,3.3,Internet, Indore ,239 other locations
154,Thermax Limited,4.2,Industrial Machinery, Indore ,247 other locations
155,Bajaj Auto,3.8,Automobile, Indore ,317 other locations
156,Macleods Pharmaceuticals,3.7,Pharma, Indore ,131 other locations
157,Aakash Educational Services,3.2,Education & Training, Indore ,243 other locations
158,Kogta Financial India Limited,4.7,NBFC, Indore ,259 other locations
159,Jubilant Foods Works,3.7,Hospitality, Indore ,261 other locations
160,LG Electronics,3.9,Consumer Electronics & Appliances, Indore ,299 other locations
161,VE Commercial Vehicles,3.9,Automobile, Indore ,158 other locations
162,Royal Enfield,4.2,Automobile, Indore ,375 other locations
163,Jindal Steel Limited,3.9,Iron & Steel, Indore ,172 other locations
164,Hindalco Industries,4.2,Metals & Mining, Indore ,127 other locations
165,John Deere,4.0,Industrial Machinery, Indore ,156 other locations
166,Tata Communications,3.9,Telecom, Indore ,102 other locations
167,DCB Bank,3.8,Banking, Indore ,339 other locations
168,HDFC Ergo General Insurance,3.9,Insurance, Indore ,321 other locations
169,RBL Bank,3.5,Banking, Indore ,285 other locations
170,Cummins,4.3,Industrial Machinery, Indore ,113 other locations
171,Oyo Rooms,3.1,Internet, Indore ,121 other locations
172,Pidilite Industries,4.2,Chemicals, Indore ,311 other locations
173,Alembic Pharmaceuticals,3.9,Pharma, Indore ,187 other locations
174,Reliance Communications,4.0,Telecom, Indore ,465 other locations
175,Publicis Sapient,3.4,IT Services & Consulting, Indore ,48 other locations
176,Subros,3.8,Auto Components, Indore ,87 other locations
177,PVR INOX,3.9,Media & Entertainment, Indore ,150 other locations
178,XpressBees,4.2,Logistics, Indore ,473 other locations
179,American Express,4.1,Financial Services, Indore ,53 other locations
180,Viatris,4.1,Pharma, Indore ,81 other locations
181,Automatic Data Processing (ADP),3.9,Software Product, Indore ,40 other locations
182,Kyndryl,3.9,IT Services & Consulting, Indore ,37 other locations
183,PNB MetLife,3.4,Insurance, Indore ,422 other locations
184,Escorts Kubota Limited,4.1,Automobile, Indore ,154 other locations
185,Aditya Birla Sun Life Insurance,4.0,Insurance, Indore ,489 other locations
186,Grasim Industries,4.0,Building Material, Indore ,239 other locations
187,Maersk,4.0,Logistics, Indore ,49 other locations
188,Birlasoft,3.5,IT Services & Consulting, Indore ,50 other locations
189,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Indore ,165 other locations
190,Glenmark Pharmaceuticals,3.8,Pharma, Indore ,181 other locations
191,Samvardhana Motherson Group,3.7,Auto Components, Indore ,93 other locations
192,Dabur,3.9,FMCG, Indore ,319 other locations
193,JK Cement,4.0,Building Material, Indore ,325 other locations
194,Sodexo,4.0,Facility Management Services, Indore ,156 other locations
195,Kotak Mahindara Life Insurance,3.5,Insurance, Indore ,256 other locations
196,KPIT Technologies,3.0,Software Product, Indore ,44 other locations
197,Altruist Technologies,4.4,BPO, Indore ,44 other locations
198,Abbott,4.1,Pharma, Indore ,211 other locations
199,Aarti Industries,4.0,Agro Chemicals, Indore ,58 other locations
200,Ipca Laboratories,3.9,Pharma, Indore ,160 other locations
201,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, Indore ,617 other locations
202,Indian Oil Corporation,4.3,Oil & Gas, Indore ,308 other locations
203,MRF Tyres,3.6,Auto Components, Indore ,192 other locations
204,Alkem Laboratories,3.9,Pharma, Indore ,196 other locations
205,Reliance Digital,4.2,Retail, Indore ,378 other locations
206,Johnson Controls,3.5,Industrial Automation, Indore ,57 other locations
207,IGT Solutions,3.2,BPO, Indore ,47 other locations
208,Honda Motorcycle & Scooter,4.1,Automobile, Indore ,296 other locations
209,PhonePe,4.1,FinTech, Indore ,390 other locations
210,Vishal Mega Mart,3.7,Retail, Indore ,376 other locations
211,UNO Minda,4.0,Auto Components, Indore ,109 other locations
212,Hindustan Coca Cola Beverages,4.0,Beverage, Indore ,257 other locations
213,Ford Motor,4.2,Automobile, Indore ,130 other locations
214,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Indore ,86 other locations
215,UBS,3.9,Financial Services, Indore ,19 other locations
216,24/7 Customer,3.4,Software Product, Indore ,36 other locations
217,DTDC Express,3.7,Logistics, Indore ,268 other locations
218,Reliance Nippon Life Insurance,3.4,Insurance, Indore ,482 other locations
219,Ceat Tyres,3.9,Auto Components, Indore ,141 other locations
220,ABB,4.1,Industrial Machinery, Indore ,105 other locations
221,RSPL Group,4.0,FMCG, Indore ,255 other locations
222,HARMAN,3.8,Consumer Electronics & Appliances, Indore ,42 other locations
223,Indian Air Force,4.5,Defence & Aerospace, Indore ,136 other locations
224,AGS Health,4.0,Analytics & KPO, Indore ,60 other locations
225,Blinkit,3.7,Internet, Indore ,142 other locations
226,InterGlobe Aviation,3.5,Aviation, Indore ,103 other locations
227,TVS Credit Services Ltd,4.2,NBFC, Indore ,423 other locations
228,Conduent,3.4,BPO, Indore ,35 other locations
229,Alstom Transportation,3.7,Engineering & Construction, Indore ,80 other locations
230,Marpu Foundation,4.9,Non-Profit, Indore ,62 other locations
231,GeBBS Healthcare Solutions,3.7,BPO, Indore ,26 other locations
232,Croma,3.8,Retail, Indore ,189 other locations
233,Tata AIG,4.0,Insurance, Indore ,260 other locations
234,UPL,4.1,Agro Chemicals, Indore ,185 other locations
235,PepsiCo,4.0,Food Processing, Indore ,275 other locations
236,Titan Company,4.2,Retail, Indore ,183 other locations
237,Amazon Transportation Services,4.2,Logistics, Indore ,227 other locations
238,Dilip Buildcon,3.9,Engineering & Construction, Indore ,226 other locations
239,Bajaj General Insurance Limited,3.8,Insurance, Indore ,273 other locations
240,Mankind Pharma,3.8,Pharma, Indore ,247 other locations
241,Walmart,3.5,Retail, Indore ,93 other locations
242,Varroc Group,3.6,Auto Components, Indore ,61 other locations
243,Future Group,4.2,Retail, Indore ,207 other locations
244,S&P Global,4.0,Analytics & KPO, Indore ,47 other locations
245,MSN Laboratories,3.6,Pharma, Indore ,104 other locations
246,Jindal Stainless,4.2,Iron & Steel, Indore ,76 other locations
247,Afcons Infrastructure,4.2,Engineering & Construction, Indore ,121 other locations
248,Torrent Pharmaceuticals,4.0,Pharma, Indore ,129 other locations
249,Niva Bupa Health Insurance Company,4.0,Insurance, Indore ,300 other locations
250,CMS IT Services,3.1,IT Services & Consulting, Indore ,152 other locations
251,Square Yards,3.6,Internet, Indore ,51 other locations
252,ACC,3.9,Building Material, Indore ,272 other locations
253,I Process Services,3.8,Recruitment, Indore ,405 other locations
254,HDFC Sales,3.9,Financial Services, Indore ,345 other locations
255,IDFC FIRST Bharat,4.2,Financial Services, Indore ,420 other locations
256,Shoppers Stop,4.0,Retail, Indore ,83 other locations
257,DS Group,4.1,FMCG, Indore ,280 other locations
258,Suzlon Group,4.0,Power, Indore ,142 other locations
259,ESAF Small Finance Bank,3.6,Banking, Indore ,436 other locations
260,Eternal Limited,3.6,Internet, Indore ,218 other locations
261,Apollo Tyres,4.0,Auto Components, Indore ,181 other locations
262,VVDN Technologies,3.6,IT Services & Consulting, Indore ,49 other locations
263,Nokia,4.0,Telecom, Indore ,166 other locations
264,Ola Electric Mobility,3.3,Automobile, Indore ,415 other locations
265,Indus Towers,3.6,Telecom, Indore ,238 other locations
266,Sagility,3.9,BPO, Indore ,27 other locations
267,Yazaki,3.9,Auto Components, Indore ,94 other locations
268,IKS Health,3.5,Healthcare, Indore ,31 other locations
269,UnitedHealth,4.0,Healthcare, Indore ,17 other locations
270,Bharat Financial Inclusion,3.7,Financial Services, Indore ,489 other locations
271,Fiserv,2.9,FinTech, Indore ,32 other locations
272,Landmark Group,3.8,Retail, Indore ,172 other locations
273,Shree Cement,3.8,Building Material, Indore ,255 other locations
274,Britannia,4.0,FMCG, Indore ,297 other locations
275,SRF,4.1,Chemicals, Indore ,67 other locations
276,Blue Dart Express Ltd,3.9,Logistics, Indore ,278 other locations
277,Whitehat jr,3.3,EdTech, Indore ,49 other locations
278,Kansai Nerolac Paints,3.8,Chemicals, Indore ,253 other locations
279,Exide Industries,3.4,Auto Components, Indore ,198 other locations
280,Shell,3.9,Oil & Gas, Indore ,90 other locations
281,Capita,3.5,BPO, Indore ,32 other locations
282,ElasticRun,3.6,Logistics, Indore ,390 other locations
283,Dalmia Bharat Cement,3.9,Building Material, Indore ,249 other locations
284,NestlÃÂ©,3.8,FMCG, Indore ,278 other locations
285,Micro Labs,3.6,Pharma, Indore ,150 other locations
286,TVS Supply Chain Solutions,3.8,Logistics, Indore ,152 other locations
287,Zepto,3.5,Internet, Indore ,100 other locations
288,KFintech,3.4,Financial Services, Indore ,113 other locations
289,G4S,4.0,Law Enforcement & Security, Indore ,162 other locations
290,Star Health & Allied Insurance,3.5,Insurance, Indore ,326 other locations
291,Voltas,4.0,Consumer Electronics & Appliances, Indore ,204 other locations
292,BlackBuck,3.7,Internet, Indore ,365 other locations
293,Sonalika Tractors,3.6,Automobile, Indore ,191 other locations
294,Ajanta Pharma,3.9,Pharma, Indore ,118 other locations
295,Blue Star,4.1,Consumer Electronics & Appliances, Indore ,147 other locations
296,Care Health Insurance,3.5,Insurance, Indore ,242 other locations
297,Domino's Pizza,3.9,Hospitality, Indore ,246 other locations
298,ACT Fibernet,3.9,Telecom, Indore ,56 other locations
299,GATI-KWE,3.9,Logistics, Indore ,162 other locations
300,NoBroker,3.0,Internet, Indore ,49 other locations
301,Fortis Healthcare,4.0,Healthcare, Indore ,69 other locations
302,Bajaj Electricals,3.9,Consumer Electronics & Appliances, Indore ,233 other locations
303,Sterlite Technologies,3.8,Hardware & Networking, Indore ,101 other locations
304,Adani Power,3.7,Power, Indore ,127 other locations
305,Movate,3.1,IT Services & Consulting, Indore ,38 other locations
306,Sammaan Capital Limited,3.8,NBFC, Indore ,201 other locations
307,Foundever,3.4,BPO, Indore ,23 other locations
308,Alldigi Tech,3.9,BPO, Indore ,36 other locations
309,DBS Bank,3.7,Banking, Indore ,175 other locations
310,V-Mart,4.1,Retail, Indore ,284 other locations
311,Himalaya Wellness,4.0,Pharma, Indore ,236 other locations
312,Tractors and Farm Equipment,3.9,Industrial Machinery, Indore ,191 other locations
313,Parle Agro,4.0,Beverage, Indore ,255 other locations
314,JCB,3.9,Industrial Machinery, Indore ,113 other locations
315,Patanjali Ayurved,3.9,FMCG, Indore ,300 other locations
316,Paras Hospital,4.1,Healthcare, Indore ,62 other locations
317,McDonald's,3.9,Hospitality, Indore ,147 other locations
318,Physicswallah,3.6,EdTech, Indore ,121 other locations
319,ICICI Securities,3.9,Financial Services, Indore ,148 other locations
320,Mahindra Holidays & Resorts,3.5,Hospitality, Indore ,112 other locations
321,Emcure Pharmaceuticals,3.7,Pharma, Indore ,113 other locations
