,company name,ratings,company_type,location,other_loc
77,Ekart Logistics,3.9,Logistics, Hyderabad / Secunderabad ,737 other locations
78,KPMG India,3.4,Management Consulting, Hyderabad / Secunderabad ,111 other locations
79,ITC,3.9,FMCG, Hyderabad / Secunderabad ,374 other locations
80,Ujjivan Small Finance Bank,4.0,Banking, Hyderabad / Secunderabad ,526 other locations
81,Axis Max Life Insurance,4.0,Insurance, Hyderabad / Secunderabad ,494 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction, Hyderabad / Secunderabad ,406 other locations
83,Tata Projects,4.2,Engineering & Construction, Hyderabad / Secunderabad ,284 other locations
84,Coforge,3.2,IT Services & Consulting, Hyderabad / Secunderabad ,104 other locations
85,FIS,3.8,FinTech, Hyderabad / Secunderabad ,61 other locations
86,Bajaj Life Insurance,3.9,Insurance, Hyderabad / Secunderabad ,603 other locations
87,L&T Technology Services,3.1,IT Services & Consulting, Hyderabad / Secunderabad ,93 other locations
88,Cholamandalam Investment & Finance,3.8,Financial Services, Hyderabad / Secunderabad ,829 other locations
89,IIFL Finance,4.0,NBFC, Hyderabad / Secunderabad ,800 other locations
90,Oracle,3.5,Software Product, Hyderabad / Secunderabad ,56 other locations
91,Indian Army,4.7,Defence & Aerospace, Hyderabad / Secunderabad ,362 other locations
92,Omega Healthcare,3.8,BPO, Hyderabad / Secunderabad ,69 other locations
93,Muthoot Finance,3.7,NBFC, Hyderabad / Secunderabad ,781 other locations
94,JLL,4.1,Real Estate, Hyderabad / Secunderabad ,85 other locations
95,HCL Group,3.5,IT Services & Consulting, Hyderabad / Secunderabad ,97 other locations
96,eClerx,3.1,IT Services & Consulting, Hyderabad / Secunderabad ,32 other locations
97,Virtusa Consulting Services,3.7,IT Services & Consulting, Hyderabad / Secunderabad ,55 other locations
98,Piramal Finance,4.2,NBFC, Hyderabad / Secunderabad ,419 other locations
99,DMart,3.9,Retail, Hyderabad / Secunderabad ,246 other locations
100,HSBC Group,3.9,Financial Services, Hyderabad / Secunderabad ,63 other locations
101,Udaan,3.9,Internet, Hyderabad / Secunderabad ,371 other locations
102,Indiamart Intermesh,3.5,Internet, Hyderabad / Secunderabad ,171 other locations
