,company name,ratings,company_type,location,other_loc
95,HCL Group,3.5,IT Services & Consulting, Mumbai ,97 other locations
96,eClerx,3.1,IT Services & Consulting, Mumbai ,32 other locations
97,Virtusa Consulting Services,3.7,IT Services & Consulting, Mumbai ,55 other locations
98,Piramal Finance,4.2,NBFC, Mumbai ,419 other locations
99,DMart,3.9,Retail, Mumbai ,246 other locations
100,HSBC Group,3.9,Financial Services, Mumbai ,63 other locations
101,Udaan,3.9,Internet, Mumbai ,371 other locations
102,Indiamart Intermesh,3.5,Internet, Mumbai ,171 other locations
103,SMFG India Credit,3.9,NBFC, Mumbai ,590 other locations
104,Aurobindo Pharma,4.0,Pharma, Mumbai ,115 other locations
105,CGI Group,4.0,IT Services & Consulting, Mumbai ,43 other locations
106,Siemens,3.9,Industrial Automation, Mumbai ,153 other locations
107,BigBasket,3.9,Internet, Mumbai ,139 other locations
108,Manappuram Finance,3.9,NBFC, Mumbai ,645 other locations
109,Access Healthcare,3.7,BPO, Mumbai ,63 other locations
110,Shapoorji Pallonji Group,4.1,Engineering & Construction, Mumbai ,188 other locations
111,Firstsource Solutions,3.5,BPO, Mumbai ,73 other locations
112,GlobalLogic,3.5,IT Services & Consulting, Mumbai ,60 other locations
113,ICICI Lombard General Insurance Company,3.5,Insurance, Mumbai ,311 other locations
114,Tata Capital,4.0,NBFC, Mumbai ,434 other locations
115,Standard Chartered,3.6,Banking, Mumbai ,68 other locations
116,Mahindra Finance,3.9,NBFC, Mumbai ,728 other locations
117,Apollo Hospitals,4.1,Healthcare, Mumbai ,229 other locations
118,Bosch Global Software Technologies,3.7,IT Services & Consulting, Mumbai ,47 other locations
119,PolicyBazaar,3.6,Internet, Mumbai ,149 other locations
120,UST,3.7,IT Services & Consulting, Mumbai ,50 other locations
121,Ashok Leyland,4.0,Automobile, Mumbai ,254 other locations
122,Citicorp,3.7,Financial Services, Mumbai ,68 other locations
123,Swiggy,3.7,Internet, Mumbai ,228 other locations
124,Hero MotoCorp,4.1,Automobile, Mumbai ,364 other locations
125,Cyient,3.6,IT Services & Consulting, Mumbai ,48 other locations
126,SBI Cards & Payment Services,3.7,Financial Services, Mumbai ,433 other locations
127,Kalpataru Projects International,4.1,Engineering & Construction, Mumbai ,320 other locations
128,JustDial,3.5,Internet, Mumbai ,228 other locations
129,BNY,3.7,Financial Services, Mumbai ,25 other locations
130,IQVIA,3.7,Clinical Research, Mumbai ,62 other locations
131,CBRE,4.1,Real Estate, Mumbai ,91 other locations
132,SBI Life Insurance Company,3.7,Insurance, Mumbai ,651 other locations
133,TVS Motor,3.9,Automobile, Mumbai ,349 other locations
134,NTT Data,3.8,IT Services & Consulting, Mumbai ,79 other locations
135,Nagarjuna Construction Company,4.0,Engineering & Construction, Mumbai ,295 other locations
136,Schneider Electric,4.1,Industrial Automation, Mumbai ,120 other locations
137,Persistent Systems,3.6,IT Services & Consulting, Mumbai ,42 other locations
138,vivo,4.1,Consumer Electronics & Appliances, Mumbai ,413 other locations
139,State Bank of India,3.8,Banking, Mumbai ,618 other locations
140,Atos,3.8,IT Services & Consulting, Mumbai ,49 other locations
141,Ecom Express,4.0,Logistics, Mumbai ,775 other locations
142,Eviden,3.6,IT Services & Consulting, Mumbai ,39 other locations
143,KEC International,4.0,Engineering & Construction, Mumbai ,312 other locations
144,Amdocs,3.6,Software Product, Mumbai ,23 other locations
145,Nagarro,3.9,IT Services & Consulting, Mumbai ,49 other locations
146,JBM Group,3.9,Auto Components, Mumbai ,116 other locations
147,Varun Beverages,4.0,Beverage, Mumbai ,379 other locations
148,ITC Infotech,3.7,IT Services & Consulting, Mumbai ,66 other locations
149,Home Credit Finance,4.0,NBFC, Mumbai ,136 other locations
150,Bosch,4.1,Auto Components, Mumbai ,128 other locations
151,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Mumbai ,56 other locations
152,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Mumbai ,103 other locations
153,Mahindra Logistics,3.7,Logistics, Mumbai ,233 other locations
154,L&T Finance,3.9,NBFC, Mumbai ,628 other locations
155,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Mumbai ,290 other locations
156,Utkarsh Small Finance Bank,3.6,Banking, Mumbai ,406 other locations
157,OPPO,3.9,Consumer Electronics & Appliances, Mumbai ,409 other locations
158,Randstad,3.7,Recruitment, Mumbai ,350 other locations
159,Dell,3.8,Consumer Electronics & Appliances, Mumbai ,117 other locations
160,CARS24,3.4,Internet, Mumbai ,173 other locations
161,Havells,3.9,Electrical Equipment, Mumbai ,258 other locations
162,R1 RCM,3.8,BPO, Mumbai ,47 other locations
163,Intas Pharmaceuticals,4.1,Pharma, Mumbai ,148 other locations
164,Tata AIA Life Insurance,3.9,Insurance, Mumbai ,440 other locations
165,Hyundai Motor India Limited,4.1,Automobile, Mumbai ,287 other locations
166,Deutsche Bank,3.8,Banking, Mumbai ,42 other locations
167,Hetero,3.9,Pharma, Mumbai ,67 other locations
168,Motilal Oswal Financial Services,3.7,Financial Services, Mumbai ,168 other locations
169,Team Lease,3.9,Recruitment, Mumbai ,394 other locations
170,Berger Paints,3.7,Chemicals, Mumbai ,352 other locations
171,Lenskart,3.3,Internet, Mumbai ,239 other locations
172,Thermax Limited,4.2,Industrial Machinery, Mumbai ,247 other locations
173,Bajaj Auto,3.8,Automobile, Mumbai ,317 other locations
174,Aakash Educational Services,3.2,Education & Training, Mumbai ,243 other locations
175,Macleods Pharmaceuticals,3.7,Pharma, Mumbai ,131 other locations
176,Kogta Financial India Limited,4.7,NBFC, Mumbai ,259 other locations
177,LG Electronics,3.9,Consumer Electronics & Appliances, Mumbai ,297 other locations
178,Jubilant Foods Works,3.7,Hospitality, Mumbai ,261 other locations
179,VE Commercial Vehicles,3.9,Automobile, Mumbai ,157 other locations
180,Royal Enfield,4.2,Automobile, Mumbai ,375 other locations
181,Jindal Steel Limited,3.9,Iron & Steel, Mumbai ,172 other locations
182,Hindalco Industries,4.2,Metals & Mining, Mumbai ,127 other locations
183,John Deere,4.0,Industrial Machinery, Mumbai ,156 other locations
184,Tata Communications,3.9,Telecom, Mumbai ,102 other locations
185,DCB Bank,3.8,Banking, Mumbai ,339 other locations
186,HDFC Ergo General Insurance,3.9,Insurance, Mumbai ,321 other locations
187,State Street Corporation,3.5,Financial Services, Mumbai ,34 other locations
188,RBL Bank,3.5,Banking, Mumbai ,285 other locations
189,Cummins,4.3,Industrial Machinery, Mumbai ,113 other locations
190,Oyo Rooms,3.1,Internet, Mumbai ,120 other locations
191,Alembic Pharmaceuticals,3.9,Pharma, Mumbai ,187 other locations
192,Pidilite Industries,4.2,Chemicals, Mumbai ,311 other locations
193,Reliance Communications,4.0,Telecom, Mumbai ,465 other locations
194,Bank of America,4.1,Banking, Mumbai ,35 other locations
