,company_name,ratings,company_type,location,other_loc
843,DENSO,4.1,Auto Components, New Delhi ,39 other locations
844,Wind World,4.0,Power, New Delhi ,82 other locations
845,Qualcomm,3.7,Semiconductors, New Delhi ,18 other locations
846,Willis Towers Watson,3.6,Management Consulting, New Delhi ,19 other locations
847,PHN Technology,4.4,EdTech, New Delhi ,32 other locations
848,KIMS Hospital,3.9,Healthcare, New Delhi ,59 other locations
849,Dassault Systemes,3.8,Software Product, New Delhi ,12 other locations
850,Kirloskar Oil Engines,4.1,Industrial Machinery, New Delhi ,105 other locations
851,Rockman Industries,3.9,Auto Components, New Delhi ,40 other locations
852,Barclays Shared Services,3.9,Financial Services, New Delhi ,16 other locations
853,Fidelity Investments,4.0,Financial Services, New Delhi ,19 other locations
854,Xyz Company,3.8,Financial Services, New Delhi ,94 other locations
855,Ahluwalia Contracts India,3.9,Engineering & Construction, New Delhi ,58 other locations
856,Diageo,3.8,Beverage, New Delhi ,98 other locations
857,Intel,4.1,Semiconductors, New Delhi ,36 other locations
858,DLF,3.9,Real Estate, New Delhi ,36 other locations
859,ACG Worldwide,3.9,Pharma, New Delhi ,31 other locations
860,JK Lakshmi Cement,3.8,Building Material, New Delhi ,140 other locations
861,Colliers India,3.9,Real Estate, New Delhi ,45 other locations
862,The Jaypee Group,3.8,Engineering & Construction, New Delhi ,106 other locations
863,Ocwen Financial Solutions,4.0,Financial Services, New Delhi ,9 other locations
864,Thyrocare Technologies,3.7,Healthcare, New Delhi ,75 other locations
865,JTEKT,4.1,Auto Components, New Delhi ,29 other locations
866,Baazar Retail Private Limited,4.5,Retail, New Delhi ,107 other locations
867,ExcelR,3.7,Education & Training, New Delhi ,23 other locations
868,DISH TV,3.4,Broadcasting, New Delhi ,153 other locations
869,Nilkamal,3.7,Furniture & Furnishing, New Delhi ,111 other locations
870,Edelweiss,3.7,Financial Services, New Delhi ,113 other locations
871,DP World,3.8,Logistics, New Delhi ,81 other locations
872,Podar International School,4.1,Education & Training, New Delhi ,125 other locations
873,Coca-Cola Company,4.0,Beverage, New Delhi ,202 other locations
874,Bajaj Motors,3.9,Auto Components, New Delhi ,89 other locations
875,PayPal,3.8,FinTech, New Delhi ,14 other locations
876,Northern Trust Operating Services,3.8,Financial Services, New Delhi ,18 other locations
877,Salesforce,3.9,Software Product, New Delhi ,40 other locations
878,Johnson Lifts,3.9,Industrial Machinery, New Delhi ,75 other locations
879,HFCL Limited,3.7,Telecom, New Delhi ,111 other locations
880,Innova Solutions,3.3,IT Services & Consulting, New Delhi ,36 other locations
881,Leadec India,4.1,Facility Management Services, New Delhi ,77 other locations
882,Electronica Finance,4.2,NBFC, New Delhi ,169 other locations
883,Meril,3.6,Medical Equipment, New Delhi ,81 other locations
884,Dhoot Transmission,3.7,Auto Components, New Delhi ,42 other locations
885,Indostar Capital Finance Limited,4.4,NBFC, New Delhi ,317 other locations
886,Barbeque Nation,3.9,Hospitality, New Delhi ,83 other locations
887,Strides Pharma,3.9,Pharma, New Delhi ,33 other locations
888,Royal Migration Solutions,4.9,Other, New Delhi ,12 other locations
889,MDIndia Health Insurance TPA,3.6,Insurance, New Delhi ,94 other locations
890,London Stock Exchange Group,3.7,Financial Services, New Delhi ,11 other locations
891,Indira IVF Hospital,4.0,Healthcare, New Delhi ,106 other locations
892,Jacobs Engineering Group,4.1,Engineering & Construction, New Delhi ,42 other locations
893,Edelweiss Life Insurance,3.7,Insurance, New Delhi ,123 other locations
894,Saipem,4.2,Engineering & Construction, New Delhi ,42 other locations
895,CaratLane - A Tata Product,4.0,Jewellery, New Delhi ,85 other locations
896,Nielsen,3.4,Analytics & KPO, New Delhi ,73 other locations
897,Aparna Constructions and Estates,3.9,Real Estate, New Delhi ,22 other locations
898,Birla Corporation,4.1,Building Material, New Delhi ,142 other locations
899,Biocon Biologics,3.7,Biotechnology, New Delhi ,26 other locations
900,Sri Chaitanya Techno Schools,3.4,Education & Training, New Delhi ,163 other locations
901,Piaggio,3.6,Automobile, New Delhi ,80 other locations
902,Zetwerk,4.0,Industrial Machinery, New Delhi ,117 other locations
903,Prism Johnson,3.7,Building Material, New Delhi ,142 other locations
904,VMware Software,4.4,Software Product, New Delhi ,18 other locations
905,Aptiv,3.5,Auto Components, New Delhi ,26 other locations
906,Schaeffler India,4.0,Auto Components, New Delhi ,27 other locations
907,Federal Bank,3.7,Banking, New Delhi ,151 other locations
908,Motilal Oswal Home Finance,4.4,NBFC, New Delhi ,127 other locations
909,ICON Plc,4.0,Clinical Research, New Delhi ,27 other locations
910,INDO-MIM,4.0,Metals & Mining, New Delhi ,32 other locations
911,Imperial Auto Industries,3.8,Auto Components, New Delhi ,38 other locations
912,Onward Technologies Inc,2.9,IT Services & Consulting, New Delhi ,63 other locations
913,Hyundai Mobis,3.7,Auto Components, New Delhi ,47 other locations
914,Stanza Living,3.1,Internet, New Delhi ,36 other locations
915,Advantmed,4.2,Healthcare, New Delhi ,14 other locations
916,Sundaram Finance,4.0,NBFC, New Delhi ,247 other locations
917,Jet Airways,4.6,Aviation, New Delhi ,45 other locations
918,Wonder Home Finance,4.6,NBFC, New Delhi ,117 other locations
919,Jabil Circuit India,4.0,Electronics Manufacturing, New Delhi ,31 other locations
920,Zydus Wellness,4.1,FMCG, New Delhi ,127 other locations
921,TK Elevator,3.8,Industrial Machinery, New Delhi ,79 other locations
922,GAIL,4.4,Oil & Gas, New Delhi ,101 other locations
923,Syngenta,4.2,Agriculture, New Delhi ,170 other locations
924,Unicharm,4.0,FMCG, New Delhi ,187 other locations
925,Kirloskar Brothers,3.8,Industrial Machinery, New Delhi ,72 other locations
926,V2 Retail,3.4,Retail, New Delhi ,124 other locations
927,Kohler,3.7,Building Material, New Delhi ,51 other locations
928,NxtWave,3.5,EdTech, New Delhi ,51 other locations
929,Nexa,3.9,Automobile, New Delhi ,212 other locations
930,PharmEasy,3.7,Internet, New Delhi ,62 other locations
931,Siemens Gamesa Renewable Power Private Limited,4.0,Power, New Delhi ,69 other locations
932,Tube Investments of India,3.8,Engineering & Construction, New Delhi ,63 other locations
933,Balkrishna Industries,4.0,Auto Components, New Delhi ,30 other locations
934,Power Grid Corporation of India,4.3,Power, New Delhi ,232 other locations
935,Asirvad Microfinance,3.8,NBFC, New Delhi ,304 other locations
936,Sri Chaitanya Educational Institutions,3.7,Education & Training, New Delhi ,100 other locations
937,Navitasys India,4.1,Electronics Manufacturing, New Delhi ,25 other locations
938,MAHLE ANAND Filter Systems,3.9,Auto Components, New Delhi ,38 other locations
939,Air India Sats Airport Services,3.5,Aviation, New Delhi ,48 other locations
940,HPCL-Mittal Energy Limited,4.3,Petrochemicals, New Delhi ,31 other locations
941,SYSKA LED Lights,2.9,Consumer Electronics & Appliances, New Delhi ,158 other locations
942,Vedanta Aluminium,3.8,Metals & Mining, New Delhi ,45 other locations
943,CALIBEHR,4.0,IT Services & Consulting, New Delhi ,178 other locations
944,Spencer's Retail,3.8,Retail, New Delhi ,63 other locations
945,1point1 Solutions,3.3,BPO, New Delhi ,18 other locations
946,MG Motor,3.8,Automobile, New Delhi ,98 other locations
947,Pernod Ricard,3.5,Beverage, New Delhi ,119 other locations
948,Gmmco,4.0,Industrial Machinery, New Delhi ,89 other locations
949,Zf Rane Automotive,3.9,Auto Components, New Delhi ,50 other locations
950,GlobalData,3.4,Analytics & KPO, New Delhi ,22 other locations
951,Godrej Agrovet,3.9,Agriculture, New Delhi ,144 other locations
952,Bharat Sanchar Nigam,3.9,Telecom, New Delhi ,237 other locations
953,Metropolis Healthcare,3.9,Healthcare, New Delhi ,98 other locations
954,Dana Anand,4.0,Auto Components, New Delhi ,48 other locations
955,TKIL,4.1,Industrial Machinery, New Delhi ,59 other locations
956,Aarvi Encon,3.9,Recruitment, New Delhi ,128 other locations
957,mPokket,4.3,NBFC, New Delhi ,20 other locations
958,Knorr-Bremse,3.4,Auto Components, New Delhi ,30 other locations
959,Thermo Fisher Scientific,3.7,Biotechnology, New Delhi ,35 other locations
960,Hindustan Zinc,3.7,Metals & Mining, New Delhi ,36 other locations
961,Ceasefire Industries,3.1,Industrial Machinery, New Delhi ,77 other locations
962,Wheels,3.9,Auto Components, New Delhi ,46 other locations
963,BirlaNu,3.9,Building Material, New Delhi ,107 other locations
964,Sahara India Pariwar,3.8,Broadcasting, New Delhi ,247 other locations
965,Aspire Systems,3.8,IT Services & Consulting, New Delhi ,23 other locations
966,IIFL Home Finance,3.8,NBFC, New Delhi ,253 other locations
967,Otis Elevator,4.1,Industrial Machinery, New Delhi ,71 other locations
968,Lakshmi Machine Works,3.8,Industrial Machinery, New Delhi ,32 other locations
969,Incheon Motors,4.7,Automobile, New Delhi ,16 other locations
970,Vistaar Finance,4.0,NBFC, New Delhi ,199 other locations
971,Bajaj Capital Insurance Broking Limited,4.4,Insurance, New Delhi ,138 other locations
972,Amara Raja Group,4.1,Auto Components, New Delhi ,77 other locations
973,Netcracker Technology,3.0,IT Services & Consulting, New Delhi ,12 other locations
974,Uber,4.2,Internet, New Delhi ,52 other locations
975,Greenko Group,3.8,Power, New Delhi ,79 other locations
976,Vertiv,3.9,Electronics Manufacturing, New Delhi ,52 other locations
977,iQor Global Services,3.4,BPO, New Delhi ,49 other locations
978,MakeMyTrip,3.5,Internet, New Delhi ,45 other locations
979,GVPR Engineers,3.7,Engineering & Construction, New Delhi ,90 other locations
980,TÜV NORD,3.8,Other, New Delhi ,80 other locations
981,TradeIndia (Infocom Network Private Limited),3.3,Internet, New Delhi ,42 other locations
982,SitusAMC,3.3,Financial Services, New Delhi ,19 other locations
983,Tata Capital Housing Finance,4.0,NBFC, New Delhi ,164 other locations
984,Encora,3.4,IT Services & Consulting, New Delhi ,19 other locations
985,IB Group,3.8,Food Processing, New Delhi ,149 other locations
986,Lemon Tree Hotels,4.0,Hospitality, New Delhi ,77 other locations
987,AstraZeneca,3.9,Pharma, New Delhi ,50 other locations
988,Suzuki Motorcycle,4.0,Automobile, New Delhi ,118 other locations
989,Fractal Analytics,4.0,Analytics & KPO, New Delhi ,17 other locations
990,CarDekho Group,3.7,Internet, New Delhi ,81 other locations
991,NBC Bearings,3.9,Auto Components, New Delhi ,29 other locations
992,JW Marriott,4.2,Hospitality, New Delhi ,43 other locations
993,Westside,3.8,Retail, New Delhi ,106 other locations
994,eClinicalWorks,3.7,Software Product, New Delhi ,19 other locations
995,Hitachi Energy,4.1,Power, New Delhi ,37 other locations
996,Colgate Palmolive,3.9,FMCG, New Delhi ,120 other locations
997,Thomas Cook,4.0,Travel & Tourism, New Delhi ,81 other locations
998,Crompton Greaves Consumer Electricals,3.7,Consumer Electronics & Appliances, New Delhi ,105 other locations
999,Star Cement,4.0,Building Material, New Delhi ,78 other locations
1000,Mastek,3.6,IT Services & Consulting, New Delhi ,23 other locations
1001,Altisource,3.5,Real Estate, New Delhi ,10 other locations
1002,Secure Meters,4.0,Electronics Manufacturing, New Delhi ,71 other locations
1003,Hitachi Payment Services,3.6,FinTech, New Delhi ,84 other locations
1004,Pristyn Care,3.2,Internet, New Delhi ,33 other locations
1005,ALLEN Career Institute,3.8,Education & Training, New Delhi ,69 other locations
1006,Shyam Steel Group,3.5,Iron & Steel, New Delhi ,81 other locations
1007,Syrma SGS Technologies,4.0,Electronics Manufacturing, New Delhi ,23 other locations
1008,United Breweries,3.3,Beverage, New Delhi ,103 other locations
1009,Rebel Foods,3.7,Hospitality, New Delhi ,80 other locations
1010,QX Global Group,3.1,BPO, New Delhi ,20 other locations
1011,Atlas Copco,4.1,Industrial Machinery, New Delhi ,57 other locations
1012,Tata Cummins,4.4,Auto Components, New Delhi ,44 other locations
1013,Petrofac,4.2,Oil & Gas, New Delhi ,41 other locations
1014,Cult.fit,3.6,Fitness & Wellness, New Delhi ,41 other locations
1015,Bounteous x Accolite,3.2,IT Services & Consulting, New Delhi ,15 other locations
1016,Unity Small Finance Bank,3.6,Banking, New Delhi ,145 other locations
1017,Comviva Technology,2.9,Software Product, New Delhi ,19 other locations
1018,Nasser S. Al Hajri Corporation,3.5,Engineering & Construction, New Delhi ,55 other locations
1019,Malabar Gold and Diamonds,4.0,Jewellery, New Delhi ,127 other locations
1020,Aparajitha Corporate Services,3.8,Legal, New Delhi ,97 other locations
1021,TechnipFMC,3.9,Engineering & Construction, New Delhi ,43 other locations
1022,ALTEN,3.6,IT Services & Consulting, New Delhi ,23 other locations
1023,C&S Electric,4.0,Electrical Equipment, New Delhi ,58 other locations
1024,Pizza Hut,4.0,Hospitality, New Delhi ,128 other locations
1025,Kendriya Vidyalaya Sangathan,4.2,Education & Training, New Delhi ,231 other locations
1026,Arohan Financial Services,3.9,NBFC, New Delhi ,229 other locations
1027,SLMG Beverages,3.9,Beverage, New Delhi ,87 other locations
1028,Episource,3.9,IT Services & Consulting, New Delhi ,20 other locations
1029,VIP Industries,3.8,Retail, New Delhi ,94 other locations
1030,Hinduja Housing Finance,3.7,NBFC, New Delhi ,207 other locations
1031,Softenger,4.0,IT Services & Consulting, New Delhi ,33 other locations
1032,Barclays Global Service Centre,3.9,IT Services & Consulting, New Delhi ,13 other locations
1033,Collins Aerospace,3.8,Defence & Aerospace, New Delhi ,11 other locations
1034,Mahindra Automotives,3.9,Automobile, New Delhi ,128 other locations
1035,Fortrea Development India Private Limited,3.9,Clinical Research, New Delhi ,9 other locations
1036,Gannon Dunkerley & Co.,3.3,Engineering & Construction, New Delhi ,80 other locations
1037,Everest Industries,3.8,Building Material, New Delhi ,96 other locations
1038,Innodata India Private Limited,3.6,IT Services & Consulting, New Delhi ,23 other locations
1039,Capacit'e Infraprojects,3.7,Engineering & Construction, New Delhi ,35 other locations
1040,Natco Pharma,4.0,Pharma, New Delhi ,64 other locations
1041,LOREAL,3.8,Beauty & Personal Care, New Delhi ,99 other locations
1042,Lowe's,4.1,Retail, New Delhi ,9 other locations
1043,Lumina Datamatics,3.1,IT Services & Consulting, New Delhi ,20 other locations
1044,Amazon Web Services,3.8,IT Services & Consulting, New Delhi ,63 other locations
1045,Vaco Binary Semantics,3.2,IT Services & Consulting, New Delhi ,48 other locations
1046,Napino Auto & Electronics,3.8,Auto Components, New Delhi ,24 other locations
1047,JSW Group,3.8,Iron & Steel, New Delhi ,94 other locations
1048,Pricol,3.9,Auto Components, New Delhi ,32 other locations
1049,FLSmidth,3.6,Industrial Machinery, New Delhi ,24 other locations
1050,Quantiphi Analytics Solutions Private Limited,3.1,IT Services & Consulting, New Delhi ,17 other locations
1051,Tikona Infinet,3.5,Telecom, New Delhi ,46 other locations
1052,Merino Industries,3.8,Building Material, New Delhi ,79 other locations
1053,General Mills,4.1,Food Processing, New Delhi ,54 other locations
1054,Wonder Cement,4.2,Building Material, New Delhi ,111 other locations
1055,Jubilant Pharmova,3.7,Pharma, New Delhi ,61 other locations
1056,Financial Software & Systems,3.7,Software Product, New Delhi ,32 other locations
1057,koda Auto Volkswagen,4.0,Automobile, New Delhi ,46 other locations
1058,Hathway,3.3,Telecom, New Delhi ,57 other locations
1059,Salcomp Manufacturing,4.0,Electronics Manufacturing, New Delhi ,27 other locations
1060,Jyothy Labs,4.1,FMCG, New Delhi ,193 other locations
1061,Xebia,3.1,IT Services & Consulting, New Delhi ,20 other locations
1062,Siemens Energy,4.1,Power, New Delhi ,49 other locations
1063,Aircel,4.6,Telecom, New Delhi ,115 other locations
1064,Yokohama Off-Highway Tires,3.7,Auto Components, New Delhi ,38 other locations
1065,Tiger Analytics,3.7,IT Services & Consulting, New Delhi ,17 other locations
1066,Sandhar Technologies,3.8,Auto Components, New Delhi ,30 other locations
1067,Shriram General Insurance,3.5,Insurance, New Delhi ,199 other locations
1068,J B Chemicals And Pharmaceuticals,3.9,Pharma, New Delhi ,92 other locations
1069,Pramerica Life Insurance,3.7,Insurance, New Delhi ,124 other locations
1070,KEI Industries,4.2,Electrical Equipment, New Delhi ,100 other locations
1071,Defence Research & Development Organisation,4.5,Defence & Aerospace, New Delhi ,55 other locations
1072,Sundaram Clayton,3.9,Auto Components, New Delhi ,29 other locations
1073,Astral Adhesives,3.9,Chemicals, New Delhi ,152 other locations
1074,Timken,3.9,Industrial Machinery, New Delhi ,44 other locations
1075,Northcorp Software,4.8,IT Services & Consulting, New Delhi ,7 other locations
1076,Reliance Power,4.1,Power, New Delhi ,41 other locations
1077,Signify,3.5,Consumer Electronics & Appliances, New Delhi ,82 other locations
1078,Velocis Systems,3.8,IT Services & Consulting, New Delhi ,51 other locations
1079,Jaro Education,3.3,EdTech, New Delhi ,23 other locations
1080,VeeTechnologies,3.8,IT Services & Consulting, New Delhi ,39 other locations
1081,Naukri,4.2,Internet, New Delhi ,72 other locations
1082,Aristo Pharmaceuticals,4.0,Pharma, New Delhi ,106 other locations
1083,Amazon Sellers Services,4.0,Internet, New Delhi ,67 other locations
1084,ICCS,3.0,BPO, New Delhi ,31 other locations
1085,Netscribes,2.6,Analytics & KPO, New Delhi ,17 other locations
1086,Marsh McLennan,3.9,Management Consulting, New Delhi ,25 other locations
1087,Technip Energies,4.0,Engineering & Construction, New Delhi ,39 other locations
1088,Psp Projects,3.9,Engineering & Construction, New Delhi ,57 other locations
1089,HomeLane,3.3,Architecture & Interior Design, New Delhi ,35 other locations
1090,Godfrey Phillips India,4.0,FMCG, New Delhi ,117 other locations
1091,Nityo Infotech,3.3,IT Services & Consulting, New Delhi ,31 other locations
1092,KMV Projects Limited,4.2,Engineering & Construction, New Delhi ,68 other locations
1093,Tafe Motors & Tractors,3.9,Industrial Machinery, New Delhi ,71 other locations
1094,AJIO,3.6,Internet, New Delhi ,200 other locations
1095,Adani Enterprises,3.7,Metals & Mining, New Delhi ,76 other locations
1096,Test Yantra Software Solutions,3.0,IT Services & Consulting, New Delhi ,19 other locations
1097,Skipper,3.6,Industrial Machinery, New Delhi ,88 other locations
1098,Aviva Life Insurance India,3.5,Insurance, New Delhi ,120 other locations
1099,GE Healthcare,3.9,Medical Equipment, New Delhi ,36 other locations
1100,Knight Frank,4.0,Real Estate, New Delhi ,49 other locations
1101,Bosch Chassis Systems,4.1,Auto Components, New Delhi ,24 other locations
1102,Egis  India Consulting Engineers,4.2,Engineering & Construction, New Delhi ,112 other locations
1103,Volvo,4.0,Automobile, New Delhi ,38 other locations
1104,Nirma,4.2,FMCG, New Delhi ,67 other locations
1105,Bayer,4.0,Pharma, New Delhi ,114 other locations
1106,BGR Energy Systems,3.8,Engineering & Construction, New Delhi ,54 other locations
1107,Neel Metal Products,4.0,Auto Components, New Delhi ,36 other locations
1108,ivy,3.5,IT Services & Consulting, New Delhi ,11 other locations
1109,Medhaj Techno Concept,3.9,Management Consulting, New Delhi ,149 other locations
1110,Volkswagen,4.2,Automobile, New Delhi ,102 other locations
1111,Bhanzu,3.8,EdTech, New Delhi ,14 other locations
1112,Xceedance,3.5,IT Services & Consulting, New Delhi ,14 other locations
1113,Schlumberger,3.8,Oil & Gas, New Delhi ,36 other locations
1114,SKH Metals,4.0,Auto Components, New Delhi ,27 other locations
1115,Navayuga Engineering Company,3.9,Engineering & Construction, New Delhi ,72 other locations
1116,Re Sustainability Limited,3.8,Waste Management, New Delhi ,84 other locations
1117,OCS Group,4.1,Facility Management Services, New Delhi ,57 other locations
1118,Tata Chemicals,3.9,Chemicals, New Delhi ,85 other locations
1119,Steag Energy Services,4.3,Power, New Delhi ,62 other locations
1120,Yashoda Hospitals,3.9,Healthcare, New Delhi ,31 other locations
1121,Vedanta Resources,3.7,Metals & Mining, New Delhi ,72 other locations
1122,Medha Servo Drives,4.3,Electrical Equipment, New Delhi ,53 other locations
1123,Updater Services,3.7,Facility Management Services, New Delhi ,100 other locations
1124,Michelin,3.7,Auto Components, New Delhi ,47 other locations
1125,Next Education India,3.2,EdTech, New Delhi ,95 other locations
1126,Marks & Spencer,3.9,Retail, New Delhi ,60 other locations
1127,HT Media,3.1,Media & Entertainment, New Delhi ,42 other locations
1128,CIEL HR,4.0,Recruitment, New Delhi ,103 other locations
1129,Alok Industries,3.6,Fashion & Textile, New Delhi ,34 other locations
1130,Target,4.0,Retail, New Delhi ,17 other locations
1131,Vijay Sales,4.2,Retail, New Delhi ,52 other locations
1132,Ashirvad Pipes,3.9,Building Material, New Delhi ,105 other locations
1133,BDR Pharmaceuticals International,4.1,Pharma, New Delhi ,26 other locations
1134,LanceSoft,3.3,Recruitment, New Delhi ,29 other locations
1135,Nippon Life India Asset Management,4.6,Financial Services, New Delhi ,179 other locations
1136,Musashi Auto Parts,3.8,Auto Components, New Delhi ,26 other locations
1137,ACL Digital,3.6,IT Services & Consulting, New Delhi ,26 other locations
1138,Parekh Integrated Services,4.1,Logistics, New Delhi ,75 other locations
1139,Consolidated Contractors,4.5,Engineering & Construction, New Delhi ,56 other locations
1140,RAMTeCH Software Solutions,3.6,IT Services & Consulting, New Delhi ,36 other locations
1141,C.R.I. Pumps,3.9,Industrial Machinery, New Delhi ,68 other locations
1142,Precision Infomatic M Pvt Ltd,3.8,IT Services & Consulting, New Delhi ,91 other locations
1143,Serco,4.3,Analytics & KPO, New Delhi ,40 other locations
1144,Future Focus Infotech,3.4,IT Services & Consulting, New Delhi ,58 other locations
1145,Mahindra First Choice Wheels,3.8,Internet, New Delhi ,119 other locations
1146,Greenlam Industries,4.1,Furniture & Furnishing, New Delhi ,113 other locations
1147,Intellipaat Software Solutions,3.8,EdTech, New Delhi ,16 other locations
1148,Tata Starbucks,4.0,Hospitality, New Delhi ,55 other locations
1149,Magna International,3.8,Auto Components, New Delhi ,21 other locations
1150,Silaris Informations,3.0,BPO, New Delhi ,22 other locations
1151,Bechtel,3.9,Engineering & Construction, New Delhi ,31 other locations
1152,Carborundum Universal Limited,3.8,Industrial Machinery, New Delhi ,125 other locations
1153,Centum Electronics,3.5,Electronics Manufacturing, New Delhi ,18 other locations
1154,LEAD School,3.3,EdTech, New Delhi ,104 other locations
1155,National Health Mission,3.4,Healthcare, New Delhi ,278 other locations
1156,Motherson Sumi Wiring,3.7,Electrical Equipment, New Delhi ,40 other locations
1157,Orient Electric,3.6,Consumer Electronics & Appliances, New Delhi ,81 other locations
1158,Athena BPO,3.4,BPO, New Delhi ,37 other locations
1159,National Payments Corporation of India,3.7,FinTech, New Delhi ,11 other locations
1160,FastInfo,4.2,EdTech, New Delhi ,8 other locations
1161,JSW Paints,3.8,Chemicals, New Delhi ,162 other locations
1162,Feedback Infrastructure Services,3.4,Engineering & Construction, New Delhi ,130 other locations
1163,Panacea Biotec,3.6,Biotechnology, New Delhi ,70 other locations
1164,Shilpa Medicare,3.4,Pharma, New Delhi ,30 other locations
1165,Sona Comstar,4.0,Auto Components, New Delhi ,23 other locations
1166,M3M India,4.0,Real Estate, New Delhi ,10 other locations
1167,Ageas Federal Life Insurance,3.5,Insurance, New Delhi ,124 other locations
1168,H&M,3.9,Fashion & Textile, New Delhi ,57 other locations
1169,Epsilon,3.7,Marketing & Advertising, New Delhi ,16 other locations
1170,Arvind Lifestyle Brands,4.0,Retail, New Delhi ,87 other locations
1171,Nlb Services,3.6,Recruitment, New Delhi ,21 other locations
1172,Mahindra Tractors,4.1,Automobile, New Delhi ,129 other locations
1173,Jaya Hind Industries,3.7,Auto Components, New Delhi ,37 other locations
1174,Wakefit,4.0,Furniture & Furnishing, New Delhi ,51 other locations
1175,AuthBridge Research Services,3.2,IT Services & Consulting, New Delhi ,22 other locations
1176,IDEMIA,3.8,Electronics Manufacturing, New Delhi ,51 other locations
1177,WSP,4.2,Management Consulting, New Delhi ,32 other locations
1178,Acme Cleantech Solutions,4.0,Power, New Delhi ,99 other locations
1179,Rico Auto Industries,3.8,Auto Components, New Delhi ,32 other locations
1180,Swaraj Tractors,4.1,Automobile, New Delhi ,102 other locations
1181,Apar Industries,4.0,Semiconductors, New Delhi ,69 other locations
1182,Punj Lloyd,4.0,Engineering & Construction, New Delhi ,71 other locations
1183,Porter,3.5,Internet, New Delhi ,31 other locations
1184,Shaktiman Tirth Agro Technology,3.9,Industrial Machinery, New Delhi ,63 other locations
1185,Sanden Vikas,4.0,Auto Components, New Delhi ,32 other locations
1186,MOURI Tech,3.6,IT Services & Consulting, New Delhi ,10 other locations
1187,Tata Hitachi Construction Machinery,4.0,Industrial Machinery, New Delhi ,74 other locations
1188,Bank of India,3.8,Banking, New Delhi ,180 other locations
1189,Impact Infotech Pvt. Ltd.,3.5,IT Services & Consulting, New Delhi ,73 other locations
1190,Parag Milk Foods,4.1,Food Processing, New Delhi ,92 other locations
1191,MAS Financial Services,3.6,NBFC, New Delhi ,135 other locations
1192,Royal Sundaram General Insurance,3.8,Insurance, New Delhi ,104 other locations
1193,Fareportal,3.0,Internet, New Delhi ,14 other locations
1194,Ups Logistics,3.5,Logistics, New Delhi ,37 other locations
1195,Satya MicroCapital,3.6,NBFC, New Delhi ,179 other locations
1196,Fedbank Financial Services,4.0,NBFC, New Delhi ,160 other locations
1197,Casagrand,3.8,Real Estate, New Delhi ,19 other locations
1198,Union Bank of India,3.8,Banking, New Delhi ,149 other locations
1199,HP India,3.8,Consumer Electronics & Appliances, New Delhi ,62 other locations
1200,FIITJEE,3.2,Education & Training, New Delhi ,48 other locations
1201,Medusind Solutions,3.5,IT Services & Consulting, New Delhi ,11 other locations
1202,Guardian India,3.8,Insurance, New Delhi ,13 other locations
1203,Tata Power Solar,4.1,Power, New Delhi ,88 other locations
1204,Wipro PARI,3.2,Industrial Automation, New Delhi ,26 other locations
1205,Rohan Builders,4.1,Real Estate, New Delhi ,70 other locations
1206,Zudio,3.9,Retail, New Delhi ,135 other locations
1207,India Shelter Finance Corporation,3.8,NBFC, New Delhi ,176 other locations
1208,Truhome Finance,3.6,Financial Services, New Delhi ,156 other locations
1209,Lumen Technologies,4.0,Hardware & Networking, New Delhi ,13 other locations
1210,Eris Lifesciences,3.6,Pharma, New Delhi ,89 other locations
1211,Ford Business Solutions,4.1,IT Services & Consulting, New Delhi ,51 other locations
1212,Qinecsa Solutions,2.8,Clinical Research, New Delhi ,19 other locations
1213,Luxoft,3.7,IT Services & Consulting, New Delhi ,23 other locations
1214,Huhtamaki,4.0,Packaging, New Delhi ,43 other locations
1215,Ather Energy,4.1,Automobile, New Delhi ,66 other locations
1216,Ramco Systems,3.8,Software Product, New Delhi ,29 other locations
1217,Freshworks,3.4,Software Product, New Delhi ,47 other locations
1218,Forever Living Products,4.3,Fitness & Wellness, New Delhi ,98 other locations
1219,Alorica,3.0,BPO, New Delhi ,16 other locations
1220,Rodic Consultants,4.2,Engineering & Construction, New Delhi ,133 other locations
1221,Bpo Convergence,3.4,BPO, New Delhi ,39 other locations
1222,Nibav Lifts,3.9,Industrial Machinery, New Delhi ,41 other locations
1223,Metso,4.1,Metals & Mining, New Delhi ,47 other locations
1224,Greaves Cotton,4.0,Auto Components, New Delhi ,45 other locations
1225,Nexdigm,3.7,Management Consulting, New Delhi ,12 other locations
1226,Integra Software Services,3.7,IT Services & Consulting, New Delhi ,19 other locations
1227,eTeam,3.2,Recruitment, New Delhi ,19 other locations
1228,Sunbeam Auto,3.9,Auto Components, New Delhi ,30 other locations
1229,IBS Software Services,3.6,Software Product, New Delhi ,18 other locations
1230,Investors Clinic,3.7,Real Estate, New Delhi ,34 other locations
1231,Victora Auto Private Limited,3.9,Auto Components, New Delhi ,30 other locations
1232,Border Security Force,4.4,Law Enforcement & Security, New Delhi ,112 other locations
1233,Sutherland Healthcare Solutions,3.7,Analytics & KPO, New Delhi ,14 other locations
1234,Fluor Corporation,4.1,Engineering & Construction, New Delhi ,24 other locations
1235,UKG,2.9,Software Product, New Delhi ,12 other locations
1236,Hire In Global,4.9,Recruitment, New Delhi ,47 other locations
1237,Artech Infosystems,3.3,Recruitment, New Delhi ,21 other locations
1238,Linde India,3.9,Chemicals, New Delhi ,55 other locations
