,company name,ratings,company_type,location,other_loc
89,JLL,4.1,Real Estate, Ahmedabad ,85 other locations
90,eClerx,3.1,IT Services & Consulting, Ahmedabad ,32 other locations
91,Virtusa Consulting Services,3.7,IT Services & Consulting, Ahmedabad ,55 other locations
92,Piramal Finance,4.2,NBFC, Ahmedabad ,419 other locations
93,DMart,3.9,Retail, Ahmedabad ,246 other locations
94,HSBC Group,3.9,Financial Services, Ahmedabad ,63 other locations
95,Udaan,3.9,Internet, Ahmedabad ,371 other locations
96,Indiamart Intermesh,3.5,Internet, Ahmedabad ,171 other locations
97,SMFG India Credit,3.9,NBFC, Ahmedabad ,590 other locations
98,Aurobindo Pharma,4.0,Pharma, Ahmedabad ,115 other locations
99,BigBasket,3.9,Internet, Ahmedabad ,139 other locations
100,Siemens,3.9,Industrial Automation, Ahmedabad ,153 other locations
101,Manappuram Finance,3.9,NBFC, Ahmedabad ,645 other locations
102,Access Healthcare,3.7,BPO, Ahmedabad ,63 other locations
103,Shapoorji Pallonji Group,4.1,Engineering & Construction, Ahmedabad ,188 other locations
104,Firstsource Solutions,3.5,BPO, Ahmedabad ,73 other locations
105,GlobalLogic,3.5,IT Services & Consulting, Ahmedabad ,60 other locations
106,ICICI Lombard General Insurance Company,3.5,Insurance, Ahmedabad ,311 other locations
107,Tata Capital,4.0,NBFC, Ahmedabad ,435 other locations
108,Standard Chartered,3.6,Banking, Ahmedabad ,68 other locations
109,Mahindra Finance,3.9,NBFC, Ahmedabad ,728 other locations
110,Apollo Hospitals,4.1,Healthcare, Ahmedabad ,229 other locations
111,Bosch Global Software Technologies,3.7,IT Services & Consulting, Ahmedabad ,47 other locations
112,PolicyBazaar,3.6,Internet, Ahmedabad ,149 other locations
113,UST,3.7,IT Services & Consulting, Ahmedabad ,50 other locations
114,Ashok Leyland,4.0,Automobile, Ahmedabad ,254 other locations
115,Citicorp,3.7,Financial Services, Ahmedabad ,68 other locations
116,Swiggy,3.7,Internet, Ahmedabad ,228 other locations
117,Hero MotoCorp,4.1,Automobile, Ahmedabad ,364 other locations
118,Cyient,3.6,IT Services & Consulting, Ahmedabad ,48 other locations
119,SBI Cards & Payment Services,3.7,Financial Services, Ahmedabad ,435 other locations
120,Kalpataru Projects International,4.1,Engineering & Construction, Ahmedabad ,320 other locations
121,JustDial,3.5,Internet, Ahmedabad ,228 other locations
122,IQVIA,3.7,Clinical Research, Ahmedabad ,62 other locations
123,SBI Life Insurance Company,3.7,Insurance, Ahmedabad ,652 other locations
124,CBRE,4.1,Real Estate, Ahmedabad ,91 other locations
125,TVS Motor,3.9,Automobile, Ahmedabad ,349 other locations
126,NTT Data,3.8,IT Services & Consulting, Ahmedabad ,79 other locations
127,Nagarjuna Construction Company,4.0,Engineering & Construction, Ahmedabad ,295 other locations
128,Schneider Electric,4.1,Industrial Automation, Ahmedabad ,120 other locations
129,Persistent Systems,3.6,IT Services & Consulting, Ahmedabad ,42 other locations
130,vivo,4.1,Consumer Electronics & Appliances, Ahmedabad ,414 other locations
131,State Bank of India,3.8,Banking, Ahmedabad ,618 other locations
132,Atos,3.8,IT Services & Consulting, Ahmedabad ,49 other locations
133,Ecom Express,4.0,Logistics, Ahmedabad ,775 other locations
134,KEC International,4.0,Engineering & Construction, Ahmedabad ,312 other locations
135,Nagarro,3.9,IT Services & Consulting, Ahmedabad ,49 other locations
136,JBM Group,3.9,Auto Components, Ahmedabad ,116 other locations
137,Varun Beverages,4.0,Beverage, Ahmedabad ,379 other locations
138,ITC Infotech,3.7,IT Services & Consulting, Ahmedabad ,67 other locations
139,Home Credit Finance,4.0,NBFC, Ahmedabad ,136 other locations
140,Bosch,4.1,Auto Components, Ahmedabad ,129 other locations
141,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Ahmedabad ,56 other locations
142,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Ahmedabad ,103 other locations
143,Mahindra Logistics,3.7,Logistics, Ahmedabad ,233 other locations
144,L&T Finance,3.9,NBFC, Ahmedabad ,628 other locations
145,OPPO,3.9,Consumer Electronics & Appliances, Ahmedabad ,410 other locations
146,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Ahmedabad ,290 other locations
147,Utkarsh Small Finance Bank,3.6,Banking, Ahmedabad ,406 other locations
148,Randstad,3.7,Recruitment, Ahmedabad ,350 other locations
149,Dell,3.8,Consumer Electronics & Appliances, Ahmedabad ,117 other locations
150,CARS24,3.4,Internet, Ahmedabad ,173 other locations
151,Havells,3.9,Electrical Equipment, Ahmedabad ,258 other locations
152,R1 RCM,3.8,BPO, Ahmedabad ,47 other locations
153,Intas Pharmaceuticals,4.1,Pharma, Ahmedabad ,148 other locations
154,Tata AIA Life Insurance,3.9,Insurance, Ahmedabad ,441 other locations
155,Hyundai Motor India Limited,4.1,Automobile, Ahmedabad ,287 other locations
156,Deutsche Bank,3.8,Banking, Ahmedabad ,42 other locations
157,Motilal Oswal Financial Services,3.7,Financial Services, Ahmedabad ,168 other locations
158,Team Lease,3.9,Recruitment, Ahmedabad ,394 other locations
159,Berger Paints,3.7,Chemicals, Ahmedabad ,353 other locations
160,Lenskart,3.3,Internet, Ahmedabad ,239 other locations
161,Thermax Limited,4.2,Industrial Machinery, Ahmedabad ,247 other locations
162,Bajaj Auto,3.8,Automobile, Ahmedabad ,317 other locations
163,Aakash Educational Services,3.2,Education & Training, Ahmedabad ,243 other locations
164,Macleods Pharmaceuticals,3.7,Pharma, Ahmedabad ,131 other locations
165,Kogta Financial India Limited,4.7,NBFC, Ahmedabad ,259 other locations
166,Jubilant Foods Works,3.7,Hospitality, Ahmedabad ,261 other locations
167,LG Electronics,3.9,Consumer Electronics & Appliances, Ahmedabad ,299 other locations
168,VE Commercial Vehicles,3.9,Automobile, Ahmedabad ,158 other locations
169,Royal Enfield,4.2,Automobile, Ahmedabad ,375 other locations
170,Jindal Steel Limited,3.9,Iron & Steel, Ahmedabad ,172 other locations
171,Hindalco Industries,4.2,Metals & Mining, Ahmedabad ,127 other locations
172,John Deere,4.0,Industrial Machinery, Ahmedabad ,156 other locations
173,Tata Communications,3.9,Telecom, Ahmedabad ,102 other locations
174,DCB Bank,3.8,Banking, Ahmedabad ,339 other locations
175,HDFC Ergo General Insurance,3.9,Insurance, Ahmedabad ,321 other locations
176,RBL Bank,3.5,Banking, Ahmedabad ,285 other locations
177,Cummins,4.3,Industrial Machinery, Ahmedabad ,113 other locations
178,Oyo Rooms,3.1,Internet, Ahmedabad ,121 other locations
179,Pidilite Industries,4.2,Chemicals, Ahmedabad ,311 other locations
180,Alembic Pharmaceuticals,3.9,Pharma, Ahmedabad ,187 other locations
181,Reliance Communications,4.0,Telecom, Ahmedabad ,465 other locations
182,Bank of America,4.1,Banking, Ahmedabad ,35 other locations
183,Publicis Sapient,3.4,IT Services & Consulting, Ahmedabad ,48 other locations
184,Subros,3.8,Auto Components, Ahmedabad ,87 other locations
185,PVR INOX,3.9,Media & Entertainment, Ahmedabad ,150 other locations
186,XpressBees,4.2,Logistics, Ahmedabad ,473 other locations
187,American Express,4.1,Financial Services, Ahmedabad ,53 other locations
188,Viatris,4.1,Pharma, Ahmedabad ,81 other locations
189,Automatic Data Processing (ADP),3.9,Software Product, Ahmedabad ,40 other locations
190,Kyndryl,3.9,IT Services & Consulting, Ahmedabad ,37 other locations
191,PNB MetLife,3.4,Insurance, Ahmedabad ,422 other locations
192,Escorts Kubota Limited,4.1,Automobile, Ahmedabad ,154 other locations
193,Aditya Birla Sun Life Insurance,4.0,Insurance, Ahmedabad ,489 other locations
194,Grasim Industries,4.0,Building Material, Ahmedabad ,239 other locations
195,Maersk,4.0,Logistics, Ahmedabad ,49 other locations
196,Birlasoft,3.5,IT Services & Consulting, Ahmedabad ,50 other locations
197,Synechron,3.5,IT Services & Consulting, Ahmedabad ,32 other locations
198,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Ahmedabad ,165 other locations
199,Glenmark Pharmaceuticals,3.8,Pharma, Ahmedabad ,181 other locations
200,Samvardhana Motherson Group,3.7,Auto Components, Ahmedabad ,93 other locations
201,Cogent E Services,3.2,BPO, Ahmedabad ,55 other locations
202,Dabur,3.9,FMCG, Ahmedabad ,318 other locations
203,JK Cement,4.0,Building Material, Ahmedabad ,325 other locations
204,Sodexo,4.0,Facility Management Services, Ahmedabad ,156 other locations
205,Bharat Electronics,4.2,Electronics Manufacturing, Ahmedabad ,88 other locations
206,Kotak Mahindara Life Insurance,3.5,Insurance, Ahmedabad ,256 other locations
207,KPIT Technologies,3.0,Software Product, Ahmedabad ,44 other locations
208,Abbott,4.1,Pharma, Ahmedabad ,211 other locations
209,Aarti Industries,4.0,Agro Chemicals, Ahmedabad ,58 other locations
210,Ipca Laboratories,3.9,Pharma, Ahmedabad ,160 other locations
211,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, Ahmedabad ,617 other locations
212,Indian Oil Corporation,4.3,Oil & Gas, Ahmedabad ,308 other locations
213,MRF Tyres,3.6,Auto Components, Ahmedabad ,192 other locations
214,Alkem Laboratories,3.9,Pharma, Ahmedabad ,196 other locations
215,Reliance Digital,4.2,Retail, Ahmedabad ,378 other locations
216,Johnson Controls,3.5,Industrial Automation, Ahmedabad ,57 other locations
217,Honda Motorcycle & Scooter,4.1,Automobile, Ahmedabad ,296 other locations
218,PhonePe,4.1,FinTech, Ahmedabad ,390 other locations
219,Vishal Mega Mart,3.7,Retail, Ahmedabad ,376 other locations
220,UNO Minda,4.0,Auto Components, Ahmedabad ,109 other locations
221,Hindustan Coca Cola Beverages,4.0,Beverage, Ahmedabad ,257 other locations
