,company name,ratings,company_type,location,other_loc
92,PhonePe,4.1,FinTech, Lucknow ,390 other locations
93,Vishal Mega Mart,3.7,Retail, Lucknow ,376 other locations
94,UNO Minda,4.0,Auto Components, Lucknow ,109 other locations
95,Hindustan Coca Cola Beverages,4.0,Beverage, Lucknow ,257 other locations
96,Ford Motor,4.2,Automobile, Lucknow ,130 other locations
97,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Lucknow ,86 other locations
98,DTDC Express,3.7,Logistics, Lucknow ,268 other locations
99,Reliance Nippon Life Insurance,3.4,Insurance, Lucknow ,482 other locations
100,Cloudnine Hospital,4.4,Healthcare, Lucknow ,46 other locations
101,Ceat Tyres,3.9,Auto Components, Lucknow ,141 other locations
102,ABB,4.1,Industrial Machinery, Lucknow ,105 other locations
103,RSPL Group,4.0,FMCG, Lucknow ,255 other locations
104,HARMAN,3.8,Consumer Electronics & Appliances, Lucknow ,42 other locations
105,Indian Air Force,4.5,Defence & Aerospace, Lucknow ,136 other locations
106,Blinkit,3.7,Internet, Lucknow ,142 other locations
107,InterGlobe Aviation,3.5,Aviation, Lucknow ,103 other locations
108,TVS Credit Services Ltd,4.2,NBFC, Lucknow ,423 other locations
109,Alstom Transportation,3.7,Engineering & Construction, Lucknow ,80 other locations
110,Marpu Foundation,4.9,Non-Profit, Lucknow ,62 other locations
111,Tata Technologies,3.5,Engineering & Construction, Lucknow ,55 other locations
112,Croma,3.8,Retail, Lucknow ,189 other locations
113,Tata AIG,4.0,Insurance, Lucknow ,260 other locations
114,Max Healthcare,3.9,Healthcare, Lucknow ,78 other locations
115,UPL,4.1,Agro Chemicals, Lucknow ,185 other locations
116,PepsiCo,4.0,Food Processing, Lucknow ,275 other locations
117,Titan Company,4.2,Retail, Lucknow ,183 other locations
118,Amazon Transportation Services,4.2,Logistics, Lucknow ,227 other locations
119,Bajaj General Insurance Limited,3.8,Insurance, Lucknow ,273 other locations
120,PNB Housing Finance,3.8,NBFC, Lucknow ,168 other locations
121,TCS iON,3.9,IT Services & Consulting, Lucknow ,114 other locations
122,Jaquar,4.1,Building Material, Lucknow ,115 other locations
123,Amara Raja Energy & Mobility,4.1,Auto Components, Lucknow ,92 other locations
124,FedEx Express,3.9,Logistics, Lucknow ,93 other locations
125,Indegene,3.3,Analytics & KPO, Lucknow ,32 other locations
126,Vfs Global Services,3.4,IT Services & Consulting, Lucknow ,32 other locations
127,Muthoot Microfin,4.1,NBFC, Lucknow ,376 other locations
128,Paytm Payments Bank,3.8,Banking, Lucknow ,137 other locations
129,Infogain,3.5,IT Services & Consulting, Lucknow ,23 other locations
130,Aforeserve,3.4,IT Services & Consulting, Lucknow ,158 other locations
131,DCM Shriram,4.1,Chemicals, Lucknow ,108 other locations
